#article_name 	topic_name1,topic_prop1	topic_name2,topic_prop2...
Audioslave	music/rock,0.610105580693816	generic,0.2319004524886878	family,0.06636500754147813	film,0.02526395173453997	literature,0.01546003016591252	music/orchestra,0.015082956259426848	war/ancient,0.013574660633484163	politics/art,0.012443438914027148	empire/religion,0.007541478129713424	royalty,0.0022624434389140274
Ayumi_Hamasaki	music/rock,0.6021080368906456	generic,0.2075098814229249	film,0.07180500658761528	family,0.044466403162055336	politics/art,0.03590250329380764	music/orchestra,0.009881422924901186	literature,0.00922266139657444	war/ancient,0.007575757575757576	royalty,0.006587615283267457	empire/religion,0.004940711462450593
Áedán_mac_Gabráin	empire/religion,0.4556213017751479	generic,0.11834319526627218	royalty,0.09467455621301775	literature,0.05917159763313609	family,0.047337278106508875	politics/art,0.047337278106508875	music/orchestra,0.047337278106508875	war/ancient,0.047337278106508875	film,0.04142011834319527	music/rock,0.04142011834319527
Ban_Ki-moon	politics/art,0.3050139275766017	generic,0.21587743732590528	war/ancient,0.15459610027855153	family,0.11281337047353761	film,0.055710306406685235	royalty,0.04456824512534819	music/rock,0.034818941504178275	music/orchestra,0.02924791086350975	literature,0.025069637883008356	empire/religion,0.022284122562674095
Basilisco_(emperador)	empire/religion,0.5147492625368731	generic,0.24336283185840707	war/ancient,0.11946902654867257	family,0.05235988200589971	royalty,0.029498525073746312	literature,0.01032448377581121	politics/art,0.008849557522123894	film,0.008849557522123894	music/rock,0.007374631268436578	music/orchestra,0.005162241887905605
Beatriz_del_Reino_Unido	royalty,0.6401384083044983	generic,0.08823529411764706	family,0.0726643598615917	politics/art,0.03633217993079585	war/ancient,0.03633217993079585	empire/religion,0.03460207612456748	music/rock,0.031141868512110725	literature,0.025951557093425604	music/orchestra,0.02249134948096886	film,0.012110726643598616
Bedřich_Smetana	music/orchestra,0.5036278275714895	generic,0.26099018352539477	family,0.13252240717029448	war/ancient,0.025394793000426803	royalty,0.02496798975672215	literature,0.023687580025608196	politics/art,0.008749466495945369	empire/religion,0.008322663252240717	film,0.006402048655569782	music/rock,0.005335040546308152
Benjamin_Harrison	generic,0.2138728323699422	politics/art,0.1676300578034682	film,0.1329479768786127	war/ancient,0.12716763005780346	empire/religion,0.09826589595375723	music/rock,0.07514450867052024	royalty,0.05202312138728324	family,0.046242774566473986	literature,0.046242774566473986	music/orchestra,0.04046242774566474
Benjamin_Morrell	war/ancient,0.3805704099821747	generic,0.25089126559714797	family,0.20499108734402852	literature,0.06506238859180036	politics/art,0.028966131907308377	film,0.020053475935828877	empire/religion,0.016488413547237075	royalty,0.015151515151515152	music/rock,0.010249554367201427	music/orchestra,0.007575757575757576
Benjamin_Mountfort	politics/art,0.349146110056926	generic,0.25901328273244784	family,0.13377609108159394	literature,0.09582542694497154	empire/religion,0.05218216318785579	royalty,0.04554079696394687	war/ancient,0.025616698292220113	music/orchestra,0.018026565464895637	music/rock,0.014231499051233396	film,0.006641366223908918
Bernard_Fanning	music/rock,0.5076923076923077	generic,0.1902834008097166	family,0.11821862348178137	film,0.06315789473684211	literature,0.03562753036437247	politics/art,0.029149797570850202	war/ancient,0.01862348178137652	music/orchestra,0.015384615384615385	royalty,0.014574898785425101	empire/religion,0.0072874493927125505
Bert_Trautmann	film,0.34558823529411764	war/ancient,0.11764705882352941	politics/art,0.09558823529411764	generic,0.08823529411764706	royalty,0.08823529411764706	music/rock,0.0661764705882353	music/orchestra,0.058823529411764705	literature,0.058823529411764705	family,0.04411764705882353	empire/religion,0.03676470588235294
Bette_Davis	film,0.4608955223880597	generic,0.21074626865671642	family,0.15582089552238806	music/rock,0.04358208955223881	literature,0.04298507462686567	politics/art,0.028059701492537312	royalty,0.020298507462686566	music/orchestra,0.017313432835820895	war/ancient,0.01373134328358209	empire/religion,0.006567164179104477
Big_Star	music/rock,0.7409523809523809	generic,0.05714285714285714	literature,0.047619047619047616	politics/art,0.04666666666666667	film,0.0419047619047619	music/orchestra,0.023809523809523808	family,0.018095238095238095	royalty,0.009523809523809525	empire/religion,0.008571428571428572	war/ancient,0.005714285714285714
Bill_Russell	film,0.6981627296587927	generic,0.1732283464566929	family,0.03884514435695538	politics/art,0.024671916010498687	war/ancient,0.013648293963254593	literature,0.013648293963254593	empire/religion,0.011548556430446194	music/rock,0.010498687664041995	royalty,0.009973753280839895	music/orchestra,0.005774278215223097
Bix_Beiderbecke	generic,0.1917808219178082	music/orchestra,0.18835616438356165	music/rock,0.18835616438356165	family,0.11986301369863013	politics/art,0.08904109589041095	literature,0.06506849315068493	war/ancient,0.04794520547945205	royalty,0.04794520547945205	film,0.0410958904109589	empire/religion,0.02054794520547945
Black_Francis	music/rock,0.7005169867060561	generic,0.11779911373707533	family,0.05502215657311669	literature,0.03360413589364845	film,0.029172821270310192	politics/art,0.024002954209748892	music/orchestra,0.021048744460856722	royalty,0.00812407680945347	war/ancient,0.007016248153618907	empire/religion,0.003692762186115214
Bob_Dylan	music/rock,0.530183285690264	generic,0.16764755338826298	film,0.08256263662350766	literature,0.07566840423743064	family,0.06608373970068943	music/orchestra,0.03127627375147133	politics/art,0.019001177064065917	war/ancient,0.010257272574407264	empire/religion,0.009080208508491677	royalty,0.008239448461409114
Bob_Meusel	film,0.7128060263653484	generic,0.10546139359698682	family,0.0480225988700565	war/ancient,0.032015065913371	politics/art,0.027306967984934087	music/rock,0.025423728813559324	literature,0.015065913370998116	music/orchestra,0.014124293785310734	empire/religion,0.010357815442561206	royalty,0.009416195856873822
