ARTICLE_NAME	Art	Business	Education	Explorers	Humanities	Law	Literature	Media	Music	Personal	Politics	Religion	Royalty	Science	Sports	Warfare	Other
Nikolái Rimski-Kórsakov	0.0163556824762	0.00152545270392	0.0346947812255	0.0215357638873	0.0372881263	9.90773905868e-05	0.0883083292418	0.00317494668989	0.322847953406	0.0601984197273	0.0506949139154	0.000663734202844	0.00544080677641	0.00519213319203	0.012167098157	0.00477234113956	0.335040439568
María Teresa I de Austria	0.00811510452479	0.0134445530983	0.0138636437225	4.71101032164e-05	0.00367610489964	0.000266219281401	0.0174564199138	0.00404173488416	0.000251277523052	0.0572702707315	0.0698316823637	0.0385958229354	0.399170198863	7.54147522029e-05	0.0154485929075	0.0471292509117	0.311316598584
Antoni Gaudí	0.54032034864	0.0201671946398	0.0102253379767	5.52961098671e-05	0.0196273387814	0.00142739418322	0.0212419952272	0.00934228723732	0.00050660121171	0.0323990578776	0.000308999205392	0.0454968150424	0.0139320196623	0.0518180190679	0.0363279917523	0.00985526871525	0.186948034669
Julio César	0.00313264834564	4.41540075121e-05	0.0144273301173	3.44041701226e-05	0.00366493835442	0.043987519355	0.0638500700874	0.0103693761003	0.000866946411151	0.0536500403636	0.0531493615598	0.00453000874773	0.00697614767303	0.0041305937734	0.0312393410503	0.168720072391	0.537227047493
Juan Ruiz de Alarcón	0.00399304517253	0.000146273798894	0.000217599511234	2.40028846863e-05	0.100144976384	0.0250616849739	0.38260216246	0.0364397988169	0.000108916841423	0.0728946977174	0.000315193848915	0.0184462488378	0.0414215138793	1.80450758737e-05	0.000884483333401	0.00849482395492	0.308786532509
Pericles	9.64525365726e-05	0.00762401621709	0.0127800678997	0.00305446987132	0.0358776042618	0.0299851828428	0.0680977151132	0.000924778669893	4.54799589687e-05	0.0301988919476	0.0655644014303	0.000366070477224	7.02526824253e-05	0.0242171725722	0.0245450514104	0.0623670795659	0.634185312542
Bob Dylan	0.00716053108597	6.02271807724e-05	0.0153366434768	1.91997273343e-05	0.00873746905424	0.0102129106652	0.138552963677	0.11048049557	0.409896866215	0.0309555153556	0.0501512300564	0.015369339781	4.88626916268e-05	0.000164484361098	0.012680467974	0.00019278723183	0.189980005896
Mehmet Alí	0.00961759043827	0.328414650621	0.0410405882847	0.0054283961479	0.000107893392795	0.000143328441902	0.00802616175921	0.000478062823449	0.00134793292852	0.00252260226331	0.0194715123212	0.00197303781338	0.000283821315621	0.00831458678838	0.0240563070909	0.254775785121	0.293997742449
Jenófanes	0.000602599997164	2.0551671243e-05	0.000147253803373	2.62310725446e-05	0.411180734936	0.00801143044	0.107959093456	0.000163589087841	0.000119027592143	0.0289490838475	0.000163362352566	0.0360597919147	2.87627445659e-05	0.0455710572252	0.00398245061686	0.000103480721053	0.356911498521
Cao Yu	0.0338486187115	0.000614240789288	0.0227552390639	0.000110416242735	0.00559905867106	0.000270763768667	0.391786150074	0.0756557608763	0.00328627916137	0.0567118636249	0.126580870913	0.000300757887035	0.00029698339505	0.0128071960959	0.000990300671858	0.00339674706913	0.264988752985
Maximiliano Hernández Martínez	0.000247081079875	0.0999775970685	0.016633496996	0.000357976412982	0.0233285444475	0.0294747233562	0.078709647986	0.0623982579385	0.000117935377515	0.0238003880509	0.252853415558	9.423857791e-05	0.000109902066789	0.010018152444	0.0195768849796	0.138640446797	0.243661310863
