#article_name 	topic_name1,topic_prop1	topic_name2,topic_prop2...
Basiliscus	military,0.6867749419953596	royalty/religion,0.13379737045630316	literature,0.058004640371229696	royalty,0.04640371229698376	orchestra,0.019334880123743233	sports,0.014694508894044857	art,0.013147718484145398	music,0.01082753286929621	film/tv,0.008507347254447023	politics,0.008507347254447023
Baudouin_de_Forde	royalty/religion,0.5099337748344371	literature,0.07947019867549669	film/tv,0.06622516556291391	sports,0.059602649006622516	art,0.059602649006622516	orchestra,0.052980132450331126	royalty,0.052980132450331126	military,0.046357615894039736	politics,0.039735099337748346	music,0.033112582781456956
Beatrice_du_Royaume-Uni	royalty,0.5584854631507775	literature,0.19810682893847195	military,0.1737660581473969	art,0.014874915483434753	royalty/religion,0.013184584178498986	orchestra,0.013184584178498986	film/tv,0.00980392156862745	sports,0.00777552400270453	politics,0.005409060175794456	music,0.005409060175794456
Bedřich_Smetana	orchestra,0.5749440715883669	literature,0.116331096196868	military,0.06935123042505593	royalty,0.0447427293064877	art,0.042505592841163314	music,0.03803131991051454	politics,0.03355704697986577	sports,0.03131991051454139	royalty/religion,0.026845637583892617	film/tv,0.02237136465324385
Ben_Paschal	sports,0.25	politics,0.15476190476190477	film/tv,0.09523809523809523	literature,0.08333333333333333	music,0.08333333333333333	art,0.07142857142857142	orchestra,0.07142857142857142	royalty,0.07142857142857142	royalty/religion,0.05952380952380952	military,0.05952380952380952
Benjamin_Harrison	politics,0.633423180592992	military,0.1765498652291105	literature,0.09400269541778976	sports,0.02998652291105121	royalty,0.01954177897574124	film/tv,0.015835579514824796	music,0.01179245283018868	orchestra,0.008086253369272238	art,0.007075471698113208	royalty/religion,0.003706199460916442
Benjamin_Morrell	orchestra,0.2876712328767123	literature,0.1963470319634703	military,0.1917808219178082	politics,0.0776255707762557	sports,0.0593607305936073	royalty/religion,0.0502283105022831	art,0.0410958904109589	royalty,0.0365296803652968	film/tv,0.0319634703196347	music,0.0273972602739726
Benjamin_Mountfort	music,0.14285714285714285	art,0.12987012987012986	orchestra,0.12987012987012986	royalty/religion,0.1038961038961039	royalty,0.09090909090909091	military,0.09090909090909091	film/tv,0.07792207792207792	sports,0.07792207792207792	literature,0.07792207792207792	politics,0.07792207792207792
Beorhtwulf_de_Mercie	royalty/religion,0.6809716599190283	military,0.16842105263157894	literature,0.05991902834008097	art,0.01700404858299595	sports,0.015384615384615385	music,0.014574898785425101	film/tv,0.013765182186234818	politics,0.012955465587044534	royalty,0.008906882591093117	orchestra,0.008097165991902834
Bernard_Fanning	music,0.1875	orchestra,0.125	sports,0.109375	literature,0.09375	politics,0.09375	royalty/religion,0.078125	film/tv,0.078125	art,0.078125	royalty,0.078125	military,0.078125
Bert_Trautmann	sports,0.48105576841209025	military,0.22860791826309068	politics,0.09663686675180928	literature,0.08727117922520221	art,0.024691358024691357	film/tv,0.021711366538952746	royalty,0.021285653469561516	royalty/religion,0.016177096636866752	orchestra,0.0140485312899106	music,0.008514261387824606
Bette_Davis	film/tv,0.5577009429726089	music,0.11899416255051638	literature,0.11540188594521779	military,0.06960035922766053	royalty,0.03637180062864841	politics,0.02918724741805119	sports,0.025594970812752582	orchestra,0.022002694207453974	art,0.01571621014818141	royalty/religion,0.009429726088908847
Big_Star	music,0.4607329842931937	orchestra,0.12041884816753927	film/tv,0.09947643979057591	literature,0.06282722513089005	military,0.05759162303664921	sports,0.05235602094240838	royalty,0.041884816753926704	politics,0.041884816753926704	art,0.03664921465968586	royalty/religion,0.02617801047120419
Bill_Brown_(cricket)	sports,0.22058823529411764	literature,0.11764705882352941	royalty,0.11764705882352941	film/tv,0.08823529411764706	music,0.08823529411764706	royalty/religion,0.07352941176470588	art,0.07352941176470588	orchestra,0.07352941176470588	politics,0.07352941176470588	military,0.07352941176470588
Bill_O'Reilly_(cricket)	sports,0.3394495412844037	music,0.1559633027522936	orchestra,0.08256880733944955	literature,0.07339449541284404	art,0.06422018348623854	royalty,0.06422018348623854	politics,0.06422018348623854	film/tv,0.05504587155963303	military,0.05504587155963303	royalty/religion,0.045871559633027525
Bill_Ponsford	sports,0.65	military,0.084	politics,0.054	literature,0.052	orchestra,0.046	film/tv,0.034	royalty,0.032	art,0.018	music,0.016	royalty/religion,0.014
Bill_Russell	sports,0.7112745098039216	military,0.11397058823529412	literature,0.10514705882352941	film/tv,0.020098039215686276	politics,0.01715686274509804	music,0.013970588235294118	royalty,0.008333333333333333	royalty/religion,0.005147058823529412	orchestra,0.003431372549019608	art,0.0014705882352941176
Bix_Beiderbecke	music,0.46577946768060835	orchestra,0.18631178707224336	literature,0.10076045627376426	film/tv,0.09125475285171103	military,0.039923954372623575	art,0.03231939163498099	sports,0.024714828897338403	royalty,0.024714828897338403	politics,0.019011406844106463	royalty/religion,0.015209125475285171
Bob_Dylan	music,0.4794952681388013	literature,0.24645110410094637	military,0.08931388012618297	film/tv,0.06979495268138801	art,0.035686119873817035	orchestra,0.03174290220820189	politics,0.018730283911671926	sports,0.013801261829652996	royalty,0.010449526813880125	royalty/religion,0.004534700315457414
Bob_Meusel	sports,0.5772357723577236	military,0.08826945412311266	film/tv,0.08710801393728224	politics,0.06968641114982578	music,0.05226480836236934	literature,0.0429732868757259	orchestra,0.030197444831591175	art,0.018583042973286876	royalty,0.017421602787456445	royalty/religion,0.016260162601626018
Bob_Windle	sports,0.7099748533109808	military,0.09136630343671416	literature,0.06454316848281642	politics,0.02933780385582565	music,0.028499580888516344	film/tv,0.026823134953897737	art,0.018440905280804692	orchestra,0.01760268231349539	royalty/religion,0.008382229673093043	royalty,0.005029337803855826
Bobby_Robson	sports,0.6494998147462023	military,0.1148573545757688	literature,0.10707669507224898	politics,0.026306039273805114	royalty,0.024453501296776585	music,0.0192663949610967	orchestra,0.017043349388662466	art,0.015190811411633939	film/tv,0.014820303816228233	royalty/religion,0.01148573545757688
Bradley_Joseph	music,0.39416058394160586	film/tv,0.1386861313868613	literature,0.08029197080291971	orchestra,0.08029197080291971	sports,0.06569343065693431	politics,0.058394160583941604	art,0.051094890510948905	military,0.051094890510948905	royalty,0.043795620437956206	royalty/religion,0.0364963503649635
Brian_Horrocks	politics,0.4725609756097561	royalty,0.17682926829268292	military,0.07926829268292683	orchestra,0.054878048780487805	film/tv,0.04878048780487805	sports,0.04573170731707317	music,0.039634146341463415	literature,0.03353658536585366	royalty/religion,0.03048780487804878	art,0.018292682926829267
Bronwyn_Bancroft	art,0.29846153846153844	literature,0.14153846153846153	politics,0.14153846153846153	royalty,0.1076923076923077	music,0.08923076923076922	sports,0.052307692307692305	orchestra,0.052307692307692305	film/tv,0.04923076923076923	military,0.04	royalty/religion,0.027692307692307693
Bruno_Maddox	literature,0.3385416666666667	military,0.11458333333333333	music,0.11458333333333333	art,0.109375	sports,0.078125	politics,0.0625	royalty,0.057291666666666664	film/tv,0.046875	orchestra,0.046875	royalty/religion,0.03125
Bryan_Gunn	sports,0.6210045662100456	royalty/religion,0.0776255707762557	royalty,0.0639269406392694	orchestra,0.045662100456621	literature,0.0410958904109589	politics,0.0410958904109589	art,0.0319634703196347	music,0.0319634703196347	film/tv,0.0228310502283105	military,0.0228310502283105
Calvin_Coolidge	politics,0.6144909813512687	military,0.17303576887801894	literature,0.1403240599205136	music,0.019565881993274227	film/tv,0.01620299602568022	art,0.009477224090492203	royalty,0.008865790278202385	sports,0.007337205747477835	royalty/religion,0.005502904310608377	orchestra,0.005197187404463467
Caroline_d'Ansbach	royalty,0.6028169014084507	military,0.176056338028169	literature,0.1460093896713615	art,0.01737089201877934	film/tv,0.013615023474178404	politics,0.009859154929577466	royalty/religion,0.00892018779342723	sports,0.00892018779342723	music,0.008450704225352112	orchestra,0.007981220657276996
Carrière_militaire_de_Hugo_Chávez	military,0.3689516129032258	politics,0.3467741935483871	literature,0.15053763440860216	sports,0.038306451612903226	art,0.030913978494623656	music,0.018145161290322582	royalty,0.01478494623655914	film/tv,0.012768817204301076	orchestra,0.012096774193548387	royalty/religion,0.006720430107526882
Carsten_Borchgrevink	orchestra,0.475140712945591	military,0.21200750469043153	literature,0.18433395872420263	politics,0.0473733583489681	royalty,0.021575984990619138	art,0.021106941838649154	sports,0.012195121951219513	music,0.010318949343339587	film/tv,0.009380863039399626	royalty/religion,0.006566604127579738
Caspar_David_Friedrich	art,0.35695764909248057	literature,0.3267070008643042	military,0.16248919619706137	royalty,0.04840103716508211	royalty/religion,0.03111495246326707	orchestra,0.03111495246326707	politics,0.01296456352636128	music,0.011235955056179775	film/tv,0.010371650821089023	sports,0.00864304235090752
Catherine_de_Médicis	royalty,0.4254473161033797	military,0.3487645555239989	literature,0.10650383413802897	royalty/religion,0.05964214711729622	art,0.0286850326611758	film/tv,0.008804316955410394	politics,0.007668276057938086	music,0.005680204487361545	orchestra,0.004544163589889236	sports,0.0042601533655211585
Ceawlin	royalty/religion,0.5884057971014492	military,0.15072463768115943	literature,0.057971014492753624	art,0.04927536231884058	sports,0.04057971014492753	royalty,0.03188405797101449	politics,0.02608695652173913	orchestra,0.020289855072463767	film/tv,0.017391304347826087	music,0.017391304347826087
Cenred_de_Mercie	royalty/religion,0.722007722007722	military,0.1287001287001287	literature,0.06177606177606178	royalty,0.019305019305019305	music,0.019305019305019305	orchestra,0.011583011583011582	art,0.010296010296010296	politics,0.010296010296010296	sports,0.009009009009009009	film/tv,0.007722007722007722
Charles_Atangana	military,0.13846153846153847	royalty/religion,0.12307692307692308	art,0.1076923076923077	literature,0.1076923076923077	politics,0.1076923076923077	royalty,0.09230769230769231	music,0.09230769230769231	film/tv,0.07692307692307693	sports,0.07692307692307693	orchestra,0.07692307692307693
Charles_Carroll_le_Colon	politics,0.26595744680851063	royalty,0.19148936170212766	literature,0.18085106382978725	royalty/religion,0.0851063829787234	military,0.0797872340425532	sports,0.05319148936170213	music,0.0425531914893617	orchestra,0.03723404255319149	film/tv,0.031914893617021274	art,0.031914893617021274
Charles_Holden	art,0.2585034013605442	politics,0.17687074829931973	literature,0.11564625850340136	music,0.08843537414965986	military,0.08163265306122448	film/tv,0.07482993197278912	sports,0.061224489795918366	royalty,0.061224489795918366	royalty/religion,0.04081632653061224	orchestra,0.04081632653061224
Charles_II_d'Angleterre	royalty,0.5126541207008436	military,0.26508760545100585	literature,0.08176508760545101	royalty/religion,0.048020765736534715	film/tv,0.025957170668397145	politics,0.02109020116807268	music,0.020765736534717714	orchestra,0.009409474367293965	sports,0.009085009733939001	art,0.006164828033744322
Charles_Stewart	royalty,0.16129032258064516	sports,0.11290322580645161	film/tv,0.0967741935483871	art,0.0967741935483871	literature,0.0967741935483871	military,0.0967741935483871	music,0.0967741935483871	royalty/religion,0.08064516129032258	orchestra,0.08064516129032258	politics,0.08064516129032258
Charles_Villiers_Stanford	orchestra,0.564625850340136	royalty,0.08390022675736962	literature,0.07482993197278912	film/tv,0.06349206349206349	music,0.05668934240362812	art,0.05215419501133787	politics,0.031746031746031744	sports,0.02947845804988662	military,0.022675736961451247	royalty/religion,0.02040816326530612
Charlie_Macartney	sports,0.375	orchestra,0.08333333333333333	royalty,0.08333333333333333	music,0.08333333333333333	film/tv,0.07291666666666667	politics,0.07291666666666667	literature,0.0625	military,0.0625	royalty/religion,0.052083333333333336	art,0.052083333333333336
Charlotte_Augusta_de_Galles	royalty,0.4171073094867807	literature,0.2432348367029549	military,0.21835147744945568	music,0.0594090202177294	film/tv,0.0223950233281493	orchestra,0.012130637636080872	sports,0.008398133748055987	politics,0.007776049766718507	royalty/religion,0.006531881804043546	art,0.004665629860031105
Chester_Alan_Arthur	politics,0.6661456007146047	military,0.16257257704332292	literature,0.10853059401518535	film/tv,0.018088432335864227	royalty,0.01563197856185797	sports,0.00982581509602501	royalty/religion,0.005806163465832961	music,0.005359535506922733	orchestra,0.004912907548012505	art,0.0031263957123715946
Chinua_Achebe	literature,0.3023255813953488	film/tv,0.19069767441860466	military,0.16511627906976745	politics,0.08604651162790698	music,0.07441860465116279	art,0.05813953488372093	royalty,0.037209302325581395	sports,0.03488372093023256	royalty/religion,0.02558139534883721	orchestra,0.02558139534883721
Choe_Bu	art,0.25949367088607594	military,0.16455696202531644	literature,0.15822784810126583	royalty/religion,0.10126582278481013	politics,0.08860759493670886	music,0.056962025316455694	orchestra,0.05063291139240506	royalty,0.05063291139240506	sports,0.0379746835443038	film/tv,0.03164556962025317
Chrisye	music,0.189873417721519	art,0.11392405063291139	orchestra,0.10126582278481013	politics,0.10126582278481013	royalty/religion,0.08860759493670886	sports,0.08860759493670886	literature,0.08860759493670886	military,0.08860759493670886	royalty,0.0759493670886076	film/tv,0.06329113924050633
