#article_name 	topic_name1,topic_prop1	topic_name2,topic_prop2...
Guillaume_de_Saint-Calais	royalty/religion,0.42938931297709926	military,0.3463740458015267	literature,0.08206106870229007	royalty,0.06583969465648855	politics,0.030534351145038167	orchestra,0.016221374045801526	sports,0.008587786259541985	film/tv,0.007633587786259542	art,0.007633587786259542	music,0.0057251908396946565
Guillaume_de_Tyr	royalty/religion,0.34860557768924305	military,0.24302788844621515	royalty,0.12350597609561753	art,0.09163346613545817	literature,0.07569721115537849	orchestra,0.035856573705179286	politics,0.025896414342629483	film/tv,0.0199203187250996	sports,0.017928286852589643	music,0.017928286852589643
Guillaume_III_d'Orange-Nassau	royalty,0.513319126265317	military,0.25945657964837504	literature,0.07911561001598295	politics,0.07511987213638785	royalty/religion,0.036228023441662226	sports,0.012786361214704315	film/tv,0.010122535961640916	orchestra,0.005860415556739478	art,0.004262120404901438	music,0.0037293553542887587
Guillaume_IV_du_Royaume-Uni	royalty,0.459211732355637	military,0.21356553620531624	literature,0.15520928811487933	politics,0.10785212343415826	royalty/religion,0.021081576535288724	sports,0.01435991445157348	film/tv,0.01008249312557287	art,0.006416131989000917	orchestra,0.006110601894286587	music,0.006110601894286587
Gustav_Mahler	orchestra,0.3850974930362117	literature,0.2513927576601671	military,0.1469359331476323	art,0.10306406685236769	sports,0.028551532033426183	film/tv,0.02158774373259053	music,0.02158774373259053	politics,0.019498607242339833	royalty,0.012534818941504178	royalty/religion,0.009749303621169917
Guy_Fawkes	royalty,0.3968421052631579	military,0.18947368421052632	literature,0.14947368421052631	film/tv,0.06736842105263158	politics,0.05473684210526316	art,0.03368421052631579	music,0.03263157894736842	royalty/religion,0.029473684210526315	sports,0.02736842105263158	orchestra,0.018947368421052633
Gwen_Stefani	music,0.5749385749385749	literature,0.13267813267813267	military,0.08894348894348894	film/tv,0.07714987714987714	royalty,0.03144963144963145	art,0.0285012285012285	politics,0.02457002457002457	orchestra,0.023587223587223587	sports,0.010319410319410319	royalty/religion,0.007862407862407862
H.D.	literature,0.24152542372881355	orchestra,0.13983050847457626	music,0.13983050847457626	art,0.11016949152542373	film/tv,0.1059322033898305	military,0.06779661016949153	royalty,0.0635593220338983	politics,0.05508474576271186	sports,0.0423728813559322	royalty/religion,0.03389830508474576
Harbhajan_Singh	film/tv,0.15625	art,0.140625	sports,0.125	orchestra,0.109375	royalty/religion,0.078125	literature,0.078125	royalty,0.078125	politics,0.078125	military,0.078125	music,0.078125
Harmon_Killebrew	sports,0.5737704918032787	military,0.0778688524590164	politics,0.07377049180327869	music,0.06557377049180328	film/tv,0.045081967213114756	art,0.036885245901639344	literature,0.036885245901639344	orchestra,0.03278688524590164	royalty/religion,0.028688524590163935	royalty,0.028688524590163935
Harriet_Arbuthnot	royalty,0.3937984496124031	literature,0.33178294573643413	military,0.14263565891472868	music,0.034108527131782945	royalty/religion,0.031007751937984496	sports,0.018604651162790697	art,0.013953488372093023	film/tv,0.01317829457364341	politics,0.011627906976744186	orchestra,0.009302325581395349
Harriet_Bosse	orchestra,0.1919191919191919	royalty,0.15151515151515152	film/tv,0.13131313131313133	politics,0.09090909090909091	sports,0.08080808080808081	art,0.08080808080808081	music,0.08080808080808081	literature,0.0707070707070707	royalty/religion,0.06060606060606061	military,0.06060606060606061
Harry_Chauvel	politics,0.33663366336633666	royalty,0.09900990099009901	sports,0.0891089108910891	orchestra,0.0891089108910891	military,0.07920792079207921	film/tv,0.06930693069306931	royalty/religion,0.0594059405940594	art,0.0594059405940594	literature,0.0594059405940594	music,0.0594059405940594
Harry_Cobby	politics,0.3148148148148148	royalty,0.1111111111111111	orchestra,0.09259259259259259	sports,0.08333333333333333	military,0.08333333333333333	royalty/religion,0.06481481481481481	film/tv,0.06481481481481481	art,0.06481481481481481	music,0.06481481481481481	literature,0.05555555555555555
Harry_McNish	orchestra,0.4079110012360939	military,0.2762669962917182	literature,0.17552533992583436	royalty,0.033992583436341164	sports,0.027194066749072928	film/tv,0.022249690976514216	art,0.021631644004944377	music,0.014833127317676144	politics,0.010506798516687269	royalty/religion,0.009888751545117428
Harry_Murray	politics,0.22641509433962265	literature,0.1320754716981132	military,0.10377358490566038	royalty/religion,0.09433962264150944	music,0.09433962264150944	orchestra,0.08490566037735849	art,0.07547169811320754	film/tv,0.0660377358490566	royalty,0.0660377358490566	sports,0.05660377358490566
Hasekura_Tsunenaga	art,0.43449141900376725	military,0.24570950188363333	royalty/religion,0.10087902888237757	literature,0.09083298451234827	royalty,0.03809125156969443	orchestra,0.033486814566764334	politics,0.029300962745918795	music,0.010464629552113856	sports,0.009627459187944746	film/tv,0.007115948095437421
Hastings_Lionel_Ismay	royalty,0.294478527607362	politics,0.25766871165644173	literature,0.0736196319018405	military,0.0736196319018405	film/tv,0.06134969325153374	sports,0.05521472392638037	orchestra,0.05521472392638037	music,0.049079754601226995	royalty/religion,0.04294478527607362	art,0.03680981595092025
Heinrich_Bär	politics,0.136986301369863	royalty/religion,0.1232876712328767	film/tv,0.1095890410958904	orchestra,0.1095890410958904	royalty,0.1095890410958904	military,0.1095890410958904	sports,0.0958904109589041	art,0.0684931506849315	literature,0.0684931506849315	music,0.0684931506849315
Helena_du_Royaume-Uni	royalty,0.5128205128205128	sports,0.06837606837606838	royalty/religion,0.05982905982905983	art,0.05982905982905983	film/tv,0.05128205128205128	literature,0.05128205128205128	politics,0.05128205128205128	military,0.05128205128205128	music,0.05128205128205128	orchestra,0.042735042735042736
Helmut_Lent	politics,0.531578947368421	art,0.08421052631578947	military,0.07368421052631578	literature,0.06842105263157895	music,0.05263157894736842	orchestra,0.04736842105263158	film/tv,0.042105263157894736	sports,0.03684210526315789	royalty,0.03684210526315789	royalty/religion,0.02631578947368421
Henri_d'Uppsala	royalty/religion,0.6071166544387381	literature,0.1702127659574468	military,0.13132795304475423	orchestra,0.02457813646368305	art,0.02127659574468085	royalty,0.018708730741012473	politics,0.009904622157006602	sports,0.008070432868672046	music,0.005502567865003668	film/tv,0.003301540719002201
Henrik_Sedin	sports,0.7147766323024055	politics,0.05154639175257732	military,0.044673539518900345	royalty/religion,0.03436426116838488	orchestra,0.03436426116838488	royalty,0.03436426116838488	film/tv,0.024054982817869417	art,0.020618556701030927	literature,0.020618556701030927	music,0.020618556701030927
Henry_Moore	art,0.3915989159891599	literature,0.26490514905149054	military,0.11517615176151762	politics,0.06842818428184282	film/tv,0.03726287262872629	sports,0.032520325203252036	royalty,0.029132791327913278	music,0.027777777777777776	orchestra,0.024390243902439025	royalty/religion,0.008807588075880758
Henry_Wood_(chef_d'orchestre)	orchestra,0.5679442508710801	film/tv,0.08013937282229965	music,0.07317073170731707	literature,0.06620209059233449	military,0.05226480836236934	politics,0.04878048780487805	art,0.03484320557491289	royalty,0.0313588850174216	sports,0.024390243902439025	royalty/religion,0.020905923344947737
Herbert_Greenfield	sports,0.15151515151515152	royalty,0.12121212121212122	politics,0.12121212121212122	film/tv,0.10606060606060606	royalty/religion,0.09090909090909091	art,0.09090909090909091	orchestra,0.09090909090909091	literature,0.07575757575757576	military,0.07575757575757576	music,0.07575757575757576
Hermann_Detzner	politics,0.2	art,0.11764705882352941	military,0.11764705882352941	film/tv,0.10588235294117647	royalty,0.09411764705882353	music,0.09411764705882353	literature,0.08235294117647059	orchestra,0.07058823529411765	royalty/religion,0.058823529411764705	sports,0.058823529411764705
Héliogabale	military,0.3209647495361781	art,0.2634508348794063	literature,0.12244897959183673	royalty,0.09833024118738404	royalty/religion,0.07142857142857142	orchestra,0.03153988868274583	politics,0.0287569573283859	film/tv,0.026901669758812616	music,0.02504638218923933	sports,0.011131725417439703
Hod_Stuart	sports,0.7421383647798742	military,0.09433962264150944	literature,0.06184486373165619	royalty,0.020964360587002098	film/tv,0.01781970649895178	politics,0.01781970649895178	royalty/religion,0.013626834381551363	orchestra,0.011530398322851153	music,0.010482180293501049	art,0.009433962264150943
Honoré_de_Balzac	art,0.45497995683009557	literature,0.2897008942337342	military,0.12426765340733889	royalty,0.06768424298489054	film/tv,0.0192722787542399	politics,0.010638297872340425	orchestra,0.010175763182238668	royalty/religion,0.010021584952204749	sports,0.008479802651865556	music,0.004779525131051496
Honório_Carneiro_Leão	politics,0.44981518339493887	military,0.3292578902473699	royalty,0.09980096673301109	literature,0.08615297128234291	sports,0.007676997441000853	art,0.0068239977253340914	orchestra,0.0068239977253340914	royalty/religion,0.006539664486778504	film/tv,0.003696332101222633	music,0.0034119988626670457
Hovhannes_Bagramian	politics,0.5713596914175506	military,0.27820636451301833	art,0.03278688524590164	literature,0.03278688524590164	orchestra,0.025554484088717456	sports,0.020250723240115717	royalty/religion,0.013018322082931534	royalty,0.010607521697203472	music,0.010125361620057859	film/tv,0.005303760848601736
Howie_Morenz	sports,0.829105473965287	military,0.05440587449933244	literature,0.045727636849132176	royalty,0.01568758344459279	film/tv,0.014686248331108143	orchestra,0.011682242990654205	music,0.011014686248331108	politics,0.010680907877169559	art,0.004005340453938585	royalty/religion,0.0030040053404539386
Hubert_Walter	royalty/religion,0.2727272727272727	orchestra,0.11363636363636363	sports,0.10227272727272728	politics,0.10227272727272728	military,0.07954545454545454	art,0.06818181818181818	literature,0.06818181818181818	royalty,0.06818181818181818	music,0.06818181818181818	film/tv,0.056818181818181816
Hugh_Trumble	sports,0.34	music,0.13	royalty,0.08	literature,0.07	politics,0.07	military,0.07	royalty/religion,0.06	film/tv,0.06	art,0.06	orchestra,0.06
Hygeberht	royalty/religion,0.6511936339522546	military,0.1843501326259947	literature,0.07427055702917772	politics,0.021220159151193633	royalty,0.014588859416445624	art,0.013262599469496022	film/tv,0.011936339522546418	sports,0.011936339522546418	orchestra,0.009283819628647215	music,0.007957559681697613
Ian_Chappell	sports,0.4315068493150685	music,0.1095890410958904	film/tv,0.08904109589041095	politics,0.0821917808219178	orchestra,0.06164383561643835	art,0.0547945205479452	royalty/religion,0.04794520547945205	royalty,0.04794520547945205	literature,0.0410958904109589	military,0.03424657534246575
Ian_O'Brien	sports,0.32608695652173914	royalty,0.09782608695652174	military,0.09782608695652174	film/tv,0.07608695652173914	literature,0.07608695652173914	politics,0.07608695652173914	music,0.07608695652173914	royalty/religion,0.06521739130434782	art,0.05434782608695652	orchestra,0.05434782608695652
Ieoh_Ming_Pei	art,0.32	sports,0.11076923076923077	politics,0.1076923076923077	film/tv,0.10461538461538461	music,0.10461538461538461	literature,0.06153846153846154	military,0.06153846153846154	orchestra,0.05846153846153846	royalty,0.04	royalty/religion,0.03076923076923077
Ima_Hogg	art,0.27837837837837837	literature,0.20270270270270271	politics,0.15135135135135136	film/tv,0.1	military,0.06486486486486487	orchestra,0.062162162162162166	royalty,0.05405405405405406	sports,0.04054054054054054	music,0.02972972972972973	royalty/religion,0.016216216216216217
Ina_de_Wessex	royalty/religion,0.6633835457705678	military,0.18308227114716108	literature,0.08458864426419467	art,0.019119351100811123	politics,0.01853997682502897	sports,0.007531865585168019	royalty,0.006952491309385863	music,0.006952491309385863	film/tv,0.005214368482039398	orchestra,0.004634994206257242
Ion_Heliade_Rădulescu	royalty,0.15853658536585366	art,0.14634146341463414	literature,0.13414634146341464	royalty/religion,0.12195121951219512	orchestra,0.08536585365853659	politics,0.08536585365853659	military,0.08536585365853659	film/tv,0.06097560975609756	sports,0.06097560975609756	music,0.06097560975609756
Isaac_Brock	politics,0.3504117108874657	military,0.3458371454711802	literature,0.09057639524245197	sports,0.07593778591033852	orchestra,0.04757548032936871	film/tv,0.023787740164684355	royalty,0.021043000914913082	royalty/religion,0.01646843549862763	art,0.01555352241537054	music,0.012808783165599268
Isaac_Shelby	politics,0.44594594594594594	military,0.16891891891891891	royalty,0.07094594594594594	literature,0.06756756756756757	music,0.05405405405405406	royalty/religion,0.04391891891891892	sports,0.04054054054054054	art,0.037162162162162164	orchestra,0.037162162162162164	film/tv,0.033783783783783786
Isabella_Augusta_Gregory	literature,0.18627450980392157	film/tv,0.12745098039215685	royalty,0.11764705882352941	art,0.10784313725490197	orchestra,0.08823529411764706	music,0.08823529411764706	royalty/religion,0.0784313725490196	politics,0.0784313725490196	military,0.06862745098039216	sports,0.058823529411764705
Ivan_Aleksandre_Asen	royalty,0.255	military,0.18	art,0.165	royalty/religion,0.16	orchestra,0.055	politics,0.045	film/tv,0.04	sports,0.035	music,0.035	literature,0.03
Jack_Sheppard	literature,0.14285714285714285	sports,0.13095238095238096	film/tv,0.11904761904761904	military,0.11904761904761904	art,0.10714285714285714	royalty/religion,0.09523809523809523	music,0.09523809523809523	orchestra,0.07142857142857142	royalty,0.05952380952380952	politics,0.05952380952380952
Jack_Warner	music,0.24786324786324787	film/tv,0.21367521367521367	literature,0.1282051282051282	orchestra,0.08547008547008547	art,0.06837606837606838	sports,0.05982905982905983	politics,0.05982905982905983	military,0.05128205128205128	royalty/religion,0.042735042735042736	royalty,0.042735042735042736
Jacques_Ier_d'Angleterre	royalty,0.4404674945215486	military,0.2633308984660336	literature,0.15047479912344777	royalty/religion,0.06464572680788896	politics,0.018261504747991233	art,0.016070124178232285	music,0.016070124178232285	orchestra,0.013148283418553688	film/tv,0.01095690284879474	sports,0.006574141709276844
Jacques_II_d'Angleterre	royalty,0.5850178359096314	military,0.12841854934601665	literature,0.08323424494649227	politics,0.06896551724137931	royalty/religion,0.05826397146254459	film/tv,0.023781212841854936	art,0.0178359096313912	sports,0.016646848989298454	music,0.009512485136741973	orchestra,0.008323424494649227
Jacques_Plante_(hockey_sur_glace)	sports,0.5839598997493735	literature,0.09022556390977443	music,0.06516290726817042	military,0.06015037593984962	royalty,0.045112781954887216	film/tv,0.040100250626566414	royalty/religion,0.03508771929824561	art,0.03258145363408521	politics,0.02756892230576441	orchestra,0.020050125313283207
James_Blaine	politics,0.5513196480938416	military,0.12023460410557185	sports,0.07917888563049853	literature,0.07624633431085044	music,0.04398826979472141	film/tv,0.03225806451612903	royalty,0.03225806451612903	orchestra,0.02346041055718475	royalty/religion,0.020527859237536656	art,0.020527859237536656
James_Bowie	politics,0.20078740157480315	military,0.18110236220472442	literature,0.16535433070866143	art,0.09055118110236221	royalty,0.09055118110236221	music,0.08661417322834646	film/tv,0.07086614173228346	royalty/religion,0.04330708661417323	sports,0.03937007874015748	orchestra,0.031496062992125984
James_Joyce	literature,0.40868924889543445	orchestra,0.22827687776141384	art,0.11561119293078057	military,0.09867452135493372	film/tv,0.05412371134020619	royalty,0.03424153166421208	music,0.020986745213549336	royalty/religion,0.016936671575846832	politics,0.014727540500736377	sports,0.007731958762886598
James_Nesbitt	film/tv,0.594147582697201	music,0.15139949109414758	politics,0.061068702290076333	sports,0.04580152671755725	royalty,0.03816793893129771	art,0.027989821882951654	literature,0.02544529262086514	royalty/religion,0.021628498727735368	orchestra,0.020356234096692113	military,0.013994910941475827
James_Newland	politics,0.34615384615384615	sports,0.10576923076923077	royalty,0.10576923076923077	royalty/religion,0.08653846153846154	military,0.08653846153846154	orchestra,0.0673076923076923	film/tv,0.057692307692307696	art,0.04807692307692308	literature,0.04807692307692308	music,0.04807692307692308
James_Russell_Lowell	literature,0.6014127144298688	politics,0.10797174571140263	military,0.08274470232088799	art,0.04339051463168517	sports,0.04137235116044399	royalty,0.04137235116044399	orchestra,0.030272452068617558	royalty/religion,0.018163471241170535	film/tv,0.018163471241170535	music,0.015136226034308779
Jarome_Iginla	sports,0.6342412451361867	military,0.058365758754863814	film/tv,0.054474708171206226	orchestra,0.054474708171206226	politics,0.04669260700389105	art,0.03501945525291829	royalty/religion,0.0311284046692607	literature,0.0311284046692607	music,0.0311284046692607	royalty,0.023346303501945526
Jay_Chou	music,0.275974025974026	film/tv,0.17857142857142858	literature,0.11038961038961038	art,0.10714285714285714	military,0.08116883116883117	orchestra,0.07142857142857142	politics,0.07142857142857142	sports,0.05844155844155844	royalty,0.025974025974025976	royalty/religion,0.01948051948051948
Jean_Calvin	literature,0.5889029003783102	military,0.20453972257250946	royalty/religion,0.07667087011349306	politics,0.05044136191677175	royalty,0.03682219419924338	art,0.01841109709962169	music,0.007566204287515763	orchestra,0.006809583858764187	film/tv,0.005296343001261034	sports,0.004539722572509458
Jerry_Voorhis	politics,0.40875912408759124	military,0.0948905109489051	film/tv,0.08029197080291971	music,0.08029197080291971	sports,0.072992700729927	literature,0.06569343065693431	royalty,0.06569343065693431	art,0.051094890510948905	orchestra,0.043795620437956206	royalty/religion,0.0364963503649635
Jim_Thorpe	sports,0.4851063829787234	literature,0.1851063829787234	film/tv,0.07446808510638298	politics,0.0627659574468085	military,0.06170212765957447	orchestra,0.039361702127659576	music,0.039361702127659576	royalty,0.02021276595744681	art,0.018085106382978722	royalty/religion,0.013829787234042552
Jimmy_McAleer	sports,0.5337423312883436	politics,0.11349693251533742	literature,0.07668711656441718	military,0.06441717791411043	music,0.05521472392638037	film/tv,0.03987730061349693	royalty/religion,0.03374233128834356	art,0.03374233128834356	orchestra,0.024539877300613498	royalty,0.024539877300613498
Jocelin	royalty/religion,0.5670682730923695	military,0.17991967871485945	literature,0.10040160642570281	politics,0.03775100401606426	royalty,0.027309236947791166	orchestra,0.024899598393574297	art,0.020883534136546186	sports,0.016867469879518072	music,0.015261044176706828	film/tv,0.00963855421686747
Joe_Sakic	sports,0.8383956386292835	military,0.06425233644859812	literature,0.0264797507788162	music,0.020249221183800622	film/tv,0.017523364485981307	orchestra,0.010903426791277258	politics,0.00778816199376947	royalty/religion,0.006230529595015576	art,0.0050623052959501555	royalty,0.003115264797507788
Joel_Brand	art,0.2756598240469208	military,0.2316715542521994	politics,0.13196480938416422	literature,0.07917888563049853	film/tv,0.06744868035190615	royalty/religion,0.04985337243401759	royalty,0.0469208211143695	music,0.0469208211143695	orchestra,0.03812316715542522	sports,0.03225806451612903
Joey_Santiago	music,0.49256505576208176	literature,0.137546468401487	politics,0.06505576208178439	sports,0.06133828996282528	art,0.05762081784386617	film/tv,0.05390334572490706	orchestra,0.03903345724907063	royalty,0.03903345724907063	military,0.03903345724907063	royalty/religion,0.01486988847583643
Johann_von_Klenau	politics,0.2	royalty,0.15555555555555556	art,0.1	military,0.1	literature,0.08888888888888889	royalty/religion,0.07777777777777778	sports,0.07777777777777778	orchestra,0.07777777777777778	music,0.06666666666666667	film/tv,0.05555555555555555
John_Barbirolli	orchestra,0.38461538461538464	literature,0.1242603550295858	art,0.09467455621301775	royalty,0.08284023668639054	music,0.07692307692307693	film/tv,0.07100591715976332	politics,0.05325443786982249	royalty/religion,0.04142011834319527	sports,0.03550295857988166	military,0.03550295857988166
John_Churchill_(1er_duc_de_Marlborough)	military,0.3925799441167339	royalty,0.3562558211735486	literature,0.13349891338093758	politics,0.07094070164545173	royalty/religion,0.011331884507916796	sports,0.010400496740142812	film/tv,0.009313877677739833	music,0.007295870847562868	orchestra,0.006364483079788885	art,0.0020180068301769638
John_Dee	art,0.36698717948717946	literature,0.31346153846153846	military,0.10673076923076923	royalty,0.06025641025641026	music,0.03397435897435897	orchestra,0.03205128205128205	royalty/religion,0.025	film/tv,0.02435897435897436	politics,0.020512820512820513	sports,0.016666666666666666
John_Douglas_(architecte)	royalty,0.14492753623188406	politics,0.13043478260869565	art,0.11594202898550725	military,0.10144927536231885	music,0.10144927536231885	film/tv,0.08695652173913043	sports,0.08695652173913043	orchestra,0.08695652173913043	royalty/religion,0.07246376811594203	literature,0.07246376811594203
John_Frusciante	music,0.7215239591516104	literature,0.1272584446190102	military,0.07541241162608013	film/tv,0.024351924587588374	sports,0.01610369206598586	art,0.009033778476040848	orchestra,0.007855459544383346	royalty,0.007462686567164179	politics,0.006677140612725845	royalty/religion,0.00432050274941084
John_J._Crittenden	politics,0.3	film/tv,0.0875	literature,0.0875	royalty,0.0875	music,0.0875	sports,0.075	orchestra,0.075	military,0.075	royalty/religion,0.0625	art,0.0625
John_Knox	literature,0.30857142857142855	royalty,0.19142857142857142	military,0.16285714285714287	royalty/religion,0.15714285714285714	art,0.04285714285714286	orchestra,0.037142857142857144	music,0.037142857142857144	politics,0.025714285714285714	sports,0.02	film/tv,0.017142857142857144
John_Michael_Wright	art,0.27325581395348836	literature,0.20755813953488372	royalty,0.175	military,0.15058139534883722	royalty/religion,0.062209302325581396	orchestra,0.03953488372093023	film/tv,0.0377906976744186	sports,0.022093023255813953	music,0.019767441860465116	politics,0.012209302325581395
John_Millington_Synge	literature,0.32828870779976715	art,0.2281722933643772	orchestra,0.10826542491268917	military,0.08731082654249127	film/tv,0.06519208381839348	royalty,0.06519208381839348	royalty/religion,0.03958090803259604	music,0.037252619324796274	politics,0.02211874272409779	sports,0.018626309662398137
John_Wark	sports,0.7490372272143774	military,0.08857509627727857	literature,0.06739409499358151	film/tv,0.02374839537869063	orchestra,0.014762516046213094	royalty,0.012195121951219513	music,0.012195121951219513	royalty/religion,0.011553273427471117	politics,0.010911424903722721	art,0.009627727856225931
John_Whittle	politics,0.4363386097728837	military,0.258086717136958	music,0.09841706813489333	orchestra,0.06194081211286993	sports,0.044735030970406056	royalty,0.03234686854783207	film/tv,0.028217481073640742	literature,0.02202339986235375	royalty/religion,0.01169993117687543	art,0.006194081211286993
Joseph_Barbera	film/tv,0.4662721893491124	literature,0.14319526627218934	military,0.09230769230769231	music,0.08520710059171598	sports,0.07455621301775148	politics,0.06272189349112427	orchestra,0.027218934911242602	art,0.02485207100591716	royalty/religion,0.014201183431952662	royalty,0.009467455621301775
Joseph_Johnson	literature,0.7525252525252525	military,0.09506833036244801	politics,0.04426619132501485	art,0.02406417112299465	film/tv,0.0184194890077243	orchestra,0.0184194890077243	music,0.014854426619132501	royalty,0.013368983957219251	sports,0.011883541295306001	royalty/religion,0.0071301247771836
Joseph_Szigeti	orchestra,0.4021978021978022	literature,0.16483516483516483	film/tv,0.08351648351648351	music,0.07032967032967033	politics,0.06153846153846154	royalty,0.05714285714285714	military,0.05714285714285714	art,0.05274725274725275	sports,0.035164835164835165	royalty/religion,0.015384615384615385
José_Maria_da_Silva_Paranhos	politics,0.3368421052631579	military,0.17894736842105263	royalty,0.13157894736842105	literature,0.08421052631578947	art,0.06315789473684211	orchestra,0.05789473684210526	music,0.04736842105263158	royalty/religion,0.042105263157894736	sports,0.031578947368421054	film/tv,0.02631578947368421
Joshua_Norton	military,0.2747021723896286	literature,0.24807288016818502	politics,0.22775052557813594	art,0.08199018920812894	royalty,0.06306937631394534	royalty/religion,0.032936229852838124	sports,0.026629292221443588	film/tv,0.02592852137351086	music,0.011212333566923615	orchestra,0.007708479327259986
Josquin_des_Prés	orchestra,0.505756358768407	literature,0.20722891566265061	military,0.12369477911646587	royalty/religion,0.06586345381526104	art,0.04096385542168675	royalty,0.02115127175368139	music,0.014457831325301205	film/tv,0.010977242302543508	politics,0.006157965194109772	sports,0.003748326639892905
Jovan_Vladimir	royalty/religion,0.39903264812575573	military,0.3216444981862152	literature,0.11608222490931076	royalty,0.06166868198307134	art,0.032648125755743655	politics,0.03143893591293833	music,0.012091898428053204	sports,0.010882708585247884	film/tv,0.008464328899637243	orchestra,0.006045949214026602
Joy_Division	music,0.7054830287206266	literature,0.06840731070496084	military,0.05796344647519582	film/tv,0.04751958224543081	art,0.04543080939947781	sports,0.026631853785900782	politics,0.017754569190600523	orchestra,0.01723237597911227	royalty,0.007832898172323759	royalty/religion,0.005744125326370757
Józef_Piłsudski	military,0.33269557823129253	art,0.28720238095238093	politics,0.25531462585034015	literature,0.06186224489795918	royalty,0.02848639455782313	royalty/religion,0.013818027210884353	sports,0.008290816326530613	film/tv,0.004464285714285714	orchestra,0.004251700680272109	music,0.0036139455782312926
Judy_Garland	film/tv,0.46058879392212726	music,0.16429249762583095	literature,0.11585944919278253	military,0.100664767331434	sports,0.04748338081671415	politics,0.03133903133903134	orchestra,0.026590693257359924	royalty,0.02184235517568851	art,0.01899335232668566	royalty/religion,0.012345679012345678
Juste_de_Cantorbéry	royalty/religion,0.6809116809116809	military,0.08547008547008547	literature,0.06267806267806268	politics,0.037037037037037035	orchestra,0.03418803418803419	sports,0.02849002849002849	music,0.022792022792022793	film/tv,0.017094017094017096	art,0.017094017094017096	royalty,0.014245014245014245
KaDee_Strickland	film/tv,0.5502248875562219	literature,0.12593703148425786	music,0.07946026986506746	military,0.049475262368815595	art,0.041979010494752625	sports,0.037481259370314844	orchestra,0.034482758620689655	politics,0.03298350824587706	royalty,0.026986506746626688	royalty/religion,0.020989505247376312
Karl_Aloys_zu_Fürstenberg	royalty,0.18085106382978725	art,0.13829787234042554	politics,0.13829787234042554	orchestra,0.1276595744680851	military,0.0851063829787234	royalty/religion,0.07446808510638298	film/tv,0.06382978723404255	sports,0.06382978723404255	literature,0.06382978723404255	music,0.06382978723404255
Karmichael_Hunt	sports,0.5740740740740741	art,0.06018518518518518	royalty/religion,0.05555555555555555	politics,0.05092592592592592	military,0.05092592592592592	literature,0.046296296296296294	royalty,0.046296296296296294	music,0.046296296296296294	orchestra,0.037037037037037035	film/tv,0.032407407407407406
Kate_Bush	music,0.622159662175749	literature,0.11341242710637442	military,0.08425497687512568	film/tv,0.07339634023728132	sports,0.03438568268650714	art,0.02634224813995576	orchestra,0.019304242911723307	royalty,0.016086869093102755	royalty/religion,0.007842348682887593	politics,0.002815202091292982
Katharine_Hepburn	film/tv,0.5510820332159033	literature,0.13135379969803723	music,0.09310518369401108	military,0.08152994464016104	royalty,0.042778057372924005	politics,0.028183190739808756	sports,0.02415702063412179	art,0.02415702063412179	orchestra,0.014091595369904378	royalty/religion,0.009562154001006542
Kathleen_Ferrier	orchestra,0.4781936282090937	literature,0.1821837302814723	military,0.11104237550262913	music,0.08908134859263842	royalty,0.03835446953294154	film/tv,0.035879987627590475	politics,0.02443550881534179	sports,0.01732137333745747	art,0.016084132384781936	royalty/religion,0.007423445716053201
Katie_Holmes	film/tv,0.6393188854489165	music,0.10681114551083591	sports,0.06037151702786378	literature,0.05108359133126935	art,0.032507739938080496	politics,0.02786377708978328	royalty,0.02476780185758514	military,0.021671826625386997	royalty/religion,0.020123839009287926	orchestra,0.015479876160990712
Kevin_Pietersen	sports,0.4365079365079365	royalty/religion,0.07142857142857142	film/tv,0.07142857142857142	music,0.07142857142857142	literature,0.06349206349206349	military,0.06349206349206349	art,0.05555555555555555	orchestra,0.05555555555555555	royalty,0.05555555555555555	politics,0.05555555555555555
Khalid_al-Mihdhar	politics,0.16216216216216217	military,0.14864864864864866	film/tv,0.12162162162162163	music,0.10810810810810811	royalty,0.0945945945945946	literature,0.08108108108108109	orchestra,0.08108108108108109	royalty/religion,0.06756756756756757	sports,0.06756756756756757	art,0.06756756756756757
L._Ron_Hubbard	literature,0.288794412389918	art,0.2669298511995141	military,0.17704221075007592	politics,0.08108108108108109	music,0.06741573033707865	film/tv,0.04281809899787428	orchestra,0.02702702702702703	sports,0.02611600364409353	royalty/religion,0.011539629517157608	royalty,0.011235955056179775
Ladislas_II_Jagellon	royalty,0.35978835978835977	art,0.2857142857142857	military,0.10052910052910052	royalty/religion,0.0582010582010582	politics,0.042328042328042326	orchestra,0.037037037037037035	sports,0.031746031746031744	music,0.031746031746031744	film/tv,0.026455026455026454	literature,0.026455026455026454
Lat	music,0.3994910941475827	literature,0.21119592875318066	film/tv,0.15776081424936386	art,0.058524173027989825	military,0.03816793893129771	orchestra,0.035623409669211195	politics,0.035623409669211195	sports,0.03307888040712468	royalty,0.017811704834605598	royalty/religion,0.01272264631043257
Laurent_de_Cantorbéry	royalty/religion,0.6494413407821229	military,0.1424581005586592	royalty,0.040502793296089384	literature,0.03770949720670391	art,0.030726256983240222	music,0.025139664804469275	orchestra,0.023743016759776536	sports,0.018156424581005588	politics,0.01675977653631285	film/tv,0.015363128491620111
