ARTICLE_NAME	Art	Business	Education	Explorers	Humanities	Law	Literature	Media	Music	Personal	Politics	Religion	Royalty	Science	Sports	Warfare	Other
The Supremes	0.000245637020875	0.00562779414214	0.0039255511483	3.23527556976e-05	0.000482286467507	0.00153000662724	0.000713787917579	0.101373115426	0.538217139156	0.0423059080445	0.00170948505066	9.02157084092e-05	0.00399528704929	6.34890823079e-05	0.00390593872286	0.000168839816617	0.295613165865
Keith Johnson (cricket administrator)	0.000430962666497	0.0167844625436	0.00727101241348	0.0146873590551	0.00103538650387	0.121175360026	0.0021067998862	0.0061644168563	0.0364395164394	0.0658350742477	0.0524459753377	0.000131477836931	0.00879758662204	0.000179144041809	0.183897747206	0.0425034460902	0.440114272227
Moe Berg	0.000260626794219	0.000799713210178	0.102155677306	0.000278281518135	9.57398326091e-05	0.00276762044247	0.00173768604673	0.0432509497073	0.0104648301892	0.116511901392	0.00312932769987	0.000280516785375	0.000471640504488	0.0189458904894	0.368492891358	0.0452600234748	0.285096683249
Daniel Lambert	0.0457286477426	0.0139803447751	0.000274823700131	0.011315848782	0.000155451582394	0.0246141957705	0.0070082885265	0.00279476081187	0.000635711807625	0.270159996101	0.00022209084623	0.000112687912198	0.00254041454105	0.0383733484745	0.0183628970628	0.000382705498724	0.563337786064
Thurman Tucker	0.000151919186766	0.000667388482874	0.000770062400064	7.51970357024e-05	0.000256760477794	0.000125516630154	0.000428200982009	0.0185459838801	0.000954627218925	0.0391194618881	0.000883122411286	0.000104934213473	0.000382196149485	6.90021170028e-05	0.837647251265	0.021054928577	0.0787634470844
Cynna Kydd	0.000110801736682	0.0138352779766	0.0104639656005	0.000135504069295	0.000249351483134	0.000710657278805	0.000423513849061	0.00425063856224	0.00102590425819	0.0668075978618	0.0054863018208	0.000161710267575	0.000867622887455	0.000268516526024	0.709360171093	0.000253520187702	0.185588944541
Uriel Sebree	0.00395685541297	0.000741244093267	0.0205893284547	0.351811018853	0.0159512801201	0.108271885346	0.00157020163529	0.00463120696299	0.00778090011781	0.0110618971824	0.0775025670402	0.000228266641123	0.0349823973329	0.000254796499065	0.00185235217848	0.201052118659	0.15776168347
Ion Heliade Rădulescu	0.0304751895704	0.023977352772	0.0349080520472	0.000352150687295	0.162555423372	6.46819190355e-05	0.23852671252	0.00202427869099	0.000415275175099	0.00731043549038	0.152440070744	0.000595901515368	0.0356082815025	0.000607876849704	0.0001740785839	0.00653217780183	0.303432060758
Bruce Kingsbury	9.55464982956e-05	0.0269300371576	0.00308379538646	0.0612247171679	0.000641436454354	0.000777485727773	0.00158107215839	0.00249626097243	0.0033241965557	0.170581263959	0.00125262598613	0.000170790857105	0.0269337857892	0.000465097444111	0.0237297489015	0.525171233224	0.15154090576
Manuel I Komnenos	0.00252812427202	0.0236812872685	0.000304878130509	0.0184081593818	0.00516926698379	0.000373126391434	0.000475341957364	0.000277125132206	0.000108092514405	0.00399309505633	0.0101618895034	0.0179754329255	0.525731426402	2.3880817293e-05	0.00548370377133	0.02374370673	0.361561462762
