Name	literature	family	generic	music/orchestra	war/ancient	empire/religion	royalty	music/rock	film	politics/art
María II de Inglaterra	0.02	0.08	0.24	0.01	0.01	0.04	0.55	0.01	0.02	0.02
Chinua Achebe	0.28	0.13	0.06	0.07	0.07	0.09	0.09	0.07	0.05	0.07
José Maria da Silva Paranhos	0.08	0.13	0.08	0.07	0.12	0.08	0.25	0.05	0.07	0.09
Walter Bache	0.03	0.08	0.26	0.56	0.01	0.0	0.02	0.02	0.0	0.01
James Russell Lowell	0.36	0.19	0.25	0.03	0.02	0.0	0.03	0.01	0.05	0.06
Bob Dylan	0.08	0.07	0.17	0.03	0.01	0.01	0.01	0.53	0.08	0.02
Pedro Álvares Cabral	0.01	0.12	0.27	0.01	0.2	0.31	0.03	0.0	0.0	0.03
Ernesto Augusto I de Hannover	0.03	0.04	0.11	0.02	0.09	0.02	0.6	0.02	0.03	0.02
Damon Hill	0.01	0.04	0.22	0.01	0.02	0.01	0.04	0.02	0.61	0.02
Basilisco (emperador)	0.01	0.05	0.24	0.01	0.12	0.51	0.03	0.01	0.01	0.01
Frank Zappa	0.04	0.1	0.19	0.09	0.01	0.01	0.01	0.49	0.05	0.02
Robert Catesby	0.02	0.14	0.27	0.01	0.03	0.07	0.43	0.01	0.01	0.02
Demóstenes	0.03	0.13	0.29	0.01	0.42	0.07	0.01	0.0	0.01	0.02
Iván Bagramián	0.01	0.02	0.19	0.01	0.7	0.03	0.01	0.01	0.01	0.01
William Butler Yeats	0.39	0.13	0.14	0.1	0.02	0.02	0.06	0.04	0.03	0.07
Cillian Murphy	0.07	0.12	0.12	0.03	0.0	0.01	0.01	0.17	0.43	0.03
Juan Calvino	0.05	0.17	0.33	0.02	0.02	0.26	0.08	0.01	0.02	0.05
Nikolái Rimski-Kórsakov	0.04	0.08	0.27	0.55	0.01	0.01	0.01	0.01	0.0	0.02
Terámenes	0.02	0.06	0.32	0.01	0.53	0.03	0.0	0.0	0.01	0.01
Luisa del Reino Unido (1848-1939)	0.04	0.11	0.09	0.02	0.04	0.02	0.55	0.01	0.04	0.07
Alice in Chains	0.02	0.06	0.13	0.02	0.01	0.01	0.01	0.69	0.05	0.01
Pearl Jam	0.01	0.06	0.22	0.01	0.01	0.01	0.0	0.61	0.04	0.03
Sasha (DJ)	0.07	0.05	0.1	0.04	0.01	0.01	0.02	0.57	0.06	0.07
Ian O'Brien	0.01	0.06	0.2	0.01	0.03	0.02	0.03	0.03	0.61	0.01
Joseph Szigeti	0.05	0.13	0.13	0.39	0.04	0.07	0.04	0.05	0.06	0.05
Pham Ngoc Thao	0.01	0.06	0.23	0.01	0.5	0.03	0.05	0.01	0.02	0.07
Anna May Wong	0.11	0.12	0.07	0.02	0.02	0.02	0.05	0.16	0.3	0.13
Steve Bruce	0.05	0.04	0.08	0.06	0.03	0.03	0.08	0.08	0.5	0.05
Juan Davis Bradburn	0.02	0.05	0.29	0.0	0.21	0.07	0.02	0.0	0.01	0.33
Georges Bizet	0.02	0.12	0.27	0.49	0.02	0.01	0.03	0.01	0.01	0.01
