Name	music	literature + other	orchestra	family life	church/royalty	sports	royalty	film/tv	politics	military
Ima Hogg	0.03	0.12	0.06	0.14	0.04	0.03	0.02	0.31	0.2	0.05
Nancy Cartwright (actrice)	0.14	0.04	0.01	0.07	0.02	0.03	0.01	0.63	0.01	0.05
Roderic Dallas	0.07	0.07	0.08	0.07	0.08	0.18	0.13	0.08	0.08	0.14
Winfield Scott Hancock	0.02	0.02	0.01	0.05	0.01	0.02	0.01	0.05	0.58	0.25
William Henry Harrison	0.01	0.02	0.0	0.06	0.01	0.01	0.01	0.02	0.68	0.17
Tool	0.63	0.06	0.05	0.12	0.01	0.01	0.01	0.04	0.02	0.04
Franklin Knight Lane	0.1	0.07	0.09	0.09	0.09	0.07	0.13	0.12	0.15	0.07
Tiny Thompson	0.02	0.01	0.02	0.04	0.01	0.84	0.01	0.01	0.01	0.04
William Hanna	0.14	0.03	0.08	0.07	0.04	0.04	0.04	0.49	0.03	0.03
Edward Drinker Cope	0.05	0.16	0.05	0.21	0.02	0.04	0.04	0.3	0.1	0.04
Roman Vishniac	0.02	0.25	0.05	0.36	0.01	0.02	0.01	0.08	0.05	0.15
William Walton	0.08	0.05	0.49	0.11	0.02	0.02	0.07	0.11	0.03	0.03
Uriel Sebree	0.08	0.08	0.09	0.14	0.06	0.09	0.08	0.07	0.16	0.15
Ernie Fletcher	0.03	0.09	0.07	0.06	0.04	0.08	0.05	0.04	0.45	0.11
Frank McNamara	0.05	0.05	0.05	0.05	0.05	0.08	0.06	0.04	0.09	0.49
Harriet Arbuthnot	0.01	0.04	0.03	0.31	0.02	0.02	0.43	0.04	0.03	0.08
Motörhead	0.68	0.03	0.02	0.14	0.01	0.04	0.02	0.01	0.02	0.04
David Lovering	0.29	0.09	0.08	0.08	0.06	0.06	0.08	0.06	0.13	0.08
Maynard James Keenan	0.69	0.02	0.04	0.08	0.01	0.02	0.03	0.03	0.03	0.05
Abbas Kiarostami	0.04	0.32	0.04	0.23	0.01	0.02	0.01	0.24	0.01	0.09
Nick Drake	0.42	0.02	0.07	0.3	0.01	0.02	0.02	0.04	0.02	0.08
Guillaume de Saint-Calais	0.0	0.04	0.01	0.15	0.45	0.01	0.07	0.01	0.03	0.22
Charles Carroll le Colon	0.05	0.03	0.05	0.16	0.07	0.03	0.14	0.05	0.37	0.04
Anastasia Nikolaïevna de Russie	0.02	0.04	0.08	0.19	0.03	0.02	0.42	0.03	0.05	0.13
Shelton Benjamin	0.11	0.01	0.01	0.05	0.01	0.69	0.01	0.05	0.02	0.03
Siward de Northumbrie	0.04	0.05	0.05	0.07	0.4	0.05	0.16	0.06	0.05	0.06
