name_eng	name_spa
Teoctist Arăpașu	Teoctist Arăpașu
Pheidon	Fidón de Argos
Maria Furtwängler	Maria Furtwängler
Katia Mann	Katia Mann
Erwin König	Heinz Thorvald
Arba	Arba (Biblia)
Claude Bourgelat	Claude Bourgelat
Rafael Belliard	Rafael Belliard
Kim Simmonds	Kim Simmonds
Adam Black	Adam Black
Clément Grenier	Clément Grenier
Rothari	Rotario (Rey Lombardo)
Willie Anderson (basketball)	Willie Anderson
Diosdado G. Alesna	Diosdado G. Alesna
Barry Duke	Barry Duke
Yvonne Lefébure	Yvonne Lefébure
Danell Leyva	Danell Leyva
Aeacides of Epirus	Eácides I de Epiro
Wilhelm Wundt	Wilhelm Wundt
Harjit Harman	Harjit Harman
Onatas	Onatas de Egina
Sammy Adjei	Sammy Adjei
Rachael Taylor	Rachael Taylor
Dean Barrow	Dean Barrow
Ludwig Stumpfegger	Ludwig Stumpfegger
Aldo van Eyck	Aldo van Eyck
David Pérez Arteaga	David Pérez Arteaga
Benjamin Sehene	Benjamin Sehene
Gaius Maenius	Cayo Menio
Rico Blanco	Rico Blanco
Clarence Anglin	Clarence Anglin
Miroslav Matušovič	Miroslav Matušovič
Aleksander Tammert	Aleksander Tammert
Randy Smith (basketball)	Randy Smith
Henry Cárdenas	Henry Cárdenas
Gustave Lanson	Gustave Lanson
Gilbert Manier Muvunyi	Gilbert Manier Muvunyi
Rudolf Skácel	Rudolf Skácel
Pedro Joaquín Coldwell	Pedro Joaquín Coldwell
Woodrow Wilson	Woodrow Wilson
Fridolin von Senger und Etterlin	Fridolin von Senger und Etterlin
Alejandro Zamora	Alejandro Zamora Barbero
Jayden Jaymes	Jayden Jaymes
Erich Lachmann	Erich Lachmann
Javier Artero	Javier Artero López
Maximiliano Coronel	Maximiliano Coronel
Anita Pearl	Anita Pearl
Quim Costa	Joaquim Costa
Petrus Josephus Zoetmulder	Petrus Josephus Zoetmulder
Antonio Paredes Candia	Antonio Paredes Candia
Zhang Mengying	Zhang Mengying
Ellen Winther	Ellen Winther
Rubén Martínez Villena	Rubén Martínez Villena
Chimaira	Chimaira
Carlos Valverde	Carlos Valverde Madrid
Eyvindr skáldaspillir	Eyvindr Finnsson
Ana Teresa Aranda	Ana Teresa Aranda
Robert Schwentke	Robert Schwentke
Julia Farron	Julia Farron
Carolina Dieckmann	Carolina Dieckmann
Valery Levaneuski	Valeri Levonevski
Lev Okhotin	Lev Okhotin
Kiowa Gordon	Kiowa Gordon
Doca	Alfredo Almeida Rego
Aloysius Lilius	Luis Lilio
Saskia Burmeister	Saskia Burmeister
Adrián Gabbarini	Adrián Gabbarini
Susanna Kallur	Susanna Kallur
Rabah Madjer	Rabah Madjer
Marcos Roberto Silveira Reis	Marcos Roberto Silveira Reis
Richard Henry Beddome	Richard Henry Beddome
Adam Oehlenschläger	Adam Oehlenschläger
Romeo Sacchetti	Romeo Sacchetti
Carlos Manuel Baldomir	Carlos Manuel Baldomir
Marina Arismendi	Marina Arismendi
Julio Salinas	Julio Salinas
Mohamed Choukri	Mohammed Chukri
Rin Kaiho	Rin Kaiho
Fernando Macedo da Silva	Fernando Macedo da Silva
Ercole Baldini	Ercole Baldini
Dominique McElligott	Dominique McElligott
Christen Friis Rottbøll	Christen Friis Rottbøll
Bobbie Beard	Bobbie Beard
Leoš Janáček	Leoš Janáček
Dean Fredericks	Dean Fredericks
Mario Benzing	Mario Benzing
Ramón de la Sagra	Ramón de la Sagra
Meritamen	Meritamón
Xavier Noiret-Thomé	Xavier Noiret-Thomé
Nirmala Joshi	María Nirmala Joshi
Luke Kirby (priest)	Lucas Kirby
Suleyman Pasha (son of Orhan)	Süleyman Paşa
Bernardo Mota	Bernardo Mota
Karen Dotrice	Karen Dotrice
James Ashmore Creelman	James Ashmore Creelman
Peter Maffay	Peter Maffay
Lajos Koltai	Lajos Koltai
Susana Duijm	Susana Duijm
Carina Afable	Carina Afable
Ion Antonescu	Ion Antonescu
Adolf Hühnlein	Adolf Hühnlein
Alfonso Caso	Alfonso Caso
Zeno of Citium	Zenón de Citio
Juan Ponce Enrile	Juan Ponce Enrile
Rodrigo López (physician)	Rodrigo López
Fatou Diome	Fatou Diome
Rodney Atkins	Rodney Atkins
Fred Barron	Fred Barron
Martín Codax	Martín Codax
Antonio Samorè	Antonio Samoré
Mahmoud al-Mabhouh	Mahmoud al-Mabhouh
Mackenzie Ross	Mackenzie Ross
Ulises Humala	Ulises Humala
Yukio Seki	Yukio Seki
Lynn Varley	Lynn Varley
Mike Windischmann	Mike Windischmann
Diego Aguirre	Diego Vicente Aguirre
Howie Mandel	Howie Mandel
Ruzha Lazarova	Ruzha Lazarova
Leo von Klenze	Leo von Klenze
Wellington Paulista	Wellington Paulista
Oscar Bernardi	José Oscar Bernardi
Murilo Rubião	Murilo Rubião
Roberto Agramonte	Roberto Agramonte
Carlos Luna	Carlos Luna
Heber MacMahon	Heber MacMahon
Alice Domon	Alice Domon
Elizabeth I of England	Isabel I de Inglaterra
Pablo Bangardino	Pablo Bangardino
Pablo Antonio Cuadra	Pablo Antonio Cuadra
Gianbattista Baronchelli	Gianbattista Baronchelli
Juan Vicente Lezcano	Juan Lezcano
Wilman Conde	Wilman Conde, Jr.
George Stephenson	George Stephenson
Scott Kelly (astronaut)	Scott J. Kelly
Alonzo Mourning	Alonzo Mourning
Olivia Borlée	Olivia Borlée
Clemon Johnson	Clemon Johnson
Heinrich von Kittlitz	Friedrich Heinrich von Kittlitz
Roberto Mouzo	Roberto Mouzo
Ricardo Bóvio	Ricardo Bóvio
Russell Scott	Russell Scott
Kamehameha V	Kamehameha V
Miloš Malenović	Milos Malenović
John Jacob Astor	John Jacob Astor
Chris Bonington	Chris Bonington
Stefano Tacconi	Stefano Tacconi
August Kopff	August Kopff
Jurij Koch	Jurij Koch
Juan Vélez	Juan Vélez
Ahmad al-Hassan al-Yamani	Ahmad Al-Hasan Al-Yamani
Jean-Auguste Barre	Jean-Auguste Barre
Dieter Lehnhoff	Dieter Lehnhoff
Enric Sagnier	Enric Sagnier
José Asunción Flores	José Asunción Flores
Conrad II, Duke of Merania	Conrado II de Merania
Niccolò di Pietro Gerini	Niccolò di Pietro Gerini
Gilbert Duprez	Gilbert Duprez
Weldon (footballer)	Weldon Santos de Andrade
Javier Mazariegos	Javier Mazariegos
Gia Carangi	Gia Carangi
Emmanuel Sarki	Emmanuel Sarki
Gorazd Štangelj	Gorazd Stangelj
Anders Anundsen	Anders Anundsen
Siu Black	Siu Black
Garibald II of Bavaria	Garibaldo II de Baviera
Glenn Cornick	Glenn Cornick
Thomas Baring, 1st Earl of Northbrook	Thomas Baring
Wan Dihuan	Wan Dihuan
Alfredo Esteves	Alfredo Esteves
Matteo Garrone	Matteo Garrone
Rigoberto Cruz	Rigoberto Cruz
James Strachey	James Strachey
Giuseppe Meazza	Giuseppe Meazza
Sir George Barlow, 1st Baronet	George Hilario Barlow
Pauline Johnson	Pauline Johnson
Isaac Newell	Isaac Newell
Leo Phokas the Elder	León Focas el Viejo
Bartłomiej Grzelak	Bartłomiej Grzelak
Jhon Charría	John Charria
Leandro Gracián	Leandro Gracián
Oskar Potiorek	Oskar Potiorek
Luis Ángel González Macchi	Luis Ángel González Macchi
Anton Mang	Anton Mang
Pierre Duhem	Pierre Duhem
Dimitrios Maximos	Dimitrios Maximos
Hólger Quiñónez	Hólger Quiñónez
Matthew Briggs	Matthew Briggs
Ricardo Martinelli	Ricardo Martinelli
Francesco Montervino	Francesco Montervino
Lazaros Papadopoulos	Lazaros Papadopoulos
David Zinman	David Zinman
Alphonso Taft	Alphonso Taft
Argishti II	Argishti II
Pablo Barrientos	Pablo Barrientos
James Whitney	James Whitney
Hipólito Fernández Serrano	Poli Fernández
Takao Kobayashi	Takao Kobayashi
Luis Marquina	Luis Marquina
Cleveland Abbe	Cleveland Abbe
Antonio Cafiero	Antonio Cafiero
Minoru Honda	Minoru Honda
Carlos Latuff	Carlos Latuff
Jean-Baptiste Greuze	Jean-Baptiste Greuze
Frank Ellis Boynton	Frank Ellis Boynton
E. M. Wright	E. M. Wright
Marcelo Spinola y Maestre	Marcelo Spínola
Fatix Ämirxan	Fatix Ämirxan
Ivan Izquierdo	Iván Izquierdo
Manuel Arboleda	Manuel Santos Arboleda
Andreas Ascharin	Andreas Ascharin
Diego Rivero	Diego Rivero
Jang Mi-Ran	Jang Mi-ran
Zhao Luorui	Zhao Luorui
Mitsuteru Yokoyama	Mitsuteru Yokoyama
Paulias Matane	Paulias Matane
Alberto Lora Ramos	Alberto Lora
Spam (electronic)	Spam
Michael Laudrup	Michael Laudrup
Victoria Asher	Victoria Asher
Steve Prefontaine	Steve Prefontaine
Ji Xinpeng	Ji Xinpeng
Ferdinando Sanseverino, Prince of Salerno	Ferrante Sanseverino
François le Clerc	François Le Clerc
Tim Howard	Tim Howard
Adamantios Korais	Adamantios Koraís
Michael Janyk	Michael Janyk
William Caslon	William Caslon
Fanny Imlay	Fanny Imlay
Johannes Fröhlinger	Johannes Fröhlinger
Mario Alejandro Ruíz	Mario Ruiz
Gonzalo Fernández de la Mora	Gonzalo Fernández de la Mora
Francis Escudero	Francis Escudero
Teddy Sheringham	Teddy Sheringham
Pedro de Moya	Pedro de Moya
Emma Suárez	Emma Suárez
Eldon Garnet	Eldon Garnet
Katherine Moennig	Katherine Moennig
Rémo Meyer	Rémo Meyer
Danilo Sacramento	Danilo Sacramento
Mercedes McCambridge	Mercedes McCambridge
Rogneda of Polotsk	Rogneda de Polatsk
Jock Cunningham	Jock Cunningham
Larry Laudan	Larry Laudan
Raymond T. Odierno	Raymond T. Odierno
Bruno Bettelheim	Bruno Bettelheim
Francis Ysidro Edgeworth	Francis Edgeworth
Karl Albrecht	Karl y Theo Albrecht
Djamel Bouras	Djamel Bouras
Cirilo Vázquez	Cirilo Vázquez
Tony Eusebio	Tony Eusebio
Agus (footballer)	Agustín García Íñiguez
Maud MacCarthy (Omananda Puri)	Maud McCarthy
Claudia Acte	Actea
Kevin Hulsmans	Kevin Hulsmans
Julio Domínguez	Julio César Domínguez
Isabel Muñoz	Isabel Muñoz
Julio María Sanguinetti	Julio María Sanguinetti
Rated-RKO	Rated-RKO
Mélanie Turgeon	Mélanie Turgeon
Ludwig Goldbrunner	Ludwig Goldbrunner
Antonio Jesús Vázquez Muñoz	Antonio Jesús Vázquez Muñoz
Entemena	Entemena
Lenílson Batista de Souza	Lenílson Batista de Souza
Thomas Willis	Thomas Willis
Colmar Freiherr von der Goltz	Colmar von der Goltz
Amos Kenan	Amos Kenan
Tomás de Mercado	Tomás de Mercado
Adrián Peralta	Adrián Peralta
Fabius Maximus	Quinto Fabio Máximo
Natalie Dormer	Natalie Dormer
Sara del Campo	Sara del Campo Yávar
Nikolaos Kalogeropoulos	Nikolaos Kalogeropulos
Brian Howe (actor)	Brian Howe
Darryl Cotton	Darryl Cotton
David Sanborn	David Sanborn
Wes Matthews	Wes Matthews
Leon Benbow	Leon Benbow
Reyshawn Terry	Reyshawn Terry
EMF (band)	EMF (grupo)
Obituary (band)	Obituary
Ivan Merz	Ivan Merz
Kurt Symanzik	Kurt Symanzik
Eurymedon (strategos)	Eurimedonte (general)
Henrik Steffens	Henrich Steffens
Gabriele Paleotti	Gabriele Paleotti
Danny Cepero	Danny Cepero
Meyer Schapiro	Meyer Schapiro
Édouard Verreaux	Edouard Verreaux
Yevgeny Primakov	Yevgeni Primakov
Anastasio Aquino	Anastasio Aquino
Marcus Plautius Silvanus	Marco Plaucio Silvano
Steven Chu	Steven Chu
Maximilian I, Elector of Bavaria	Maximiliano I, duque y elector de Baviera
Mari Boine	Mari Boine
Eric Johnson (actor)	Eric Johnson I
Carlos Rivero (musician)	Carlos Rivero
Teymuraz Gabashvili	Teimuraz Gabashvili
Sophie of Württemberg	Sofía de Wurtemberg
Davit Kezerashvili	Davit Kezerashvili
Víctor Moreno	Víctor Moreno
Sonnet	Soneto
Jesus Bracamontes	Jesús Bracamontes
Wu Po-hsiung	Wu Poh-hsiung
Hermann Tilke	Hermann Tilke
Henry Bate of Malines	Enrique Bateno de Malinas
Louis Agassiz Fuertes	Louis Agassiz Fuertes
Gennaro Gattuso	Gennaro Gattuso
Lunalilo	Lunalilo
Saint Giovanni Battista de Rossi	Juan Bautista de Rossi
Joseph Woods	Joseph Woods
Baden Powell de Aquino	Baden Powell (músico)
Hisaya Morishige	Hisaya Morishige
Scott Grimes	Scott Grimes
Princess Louise of Belgium	Luisa María de Bélgica
Herbert Rudley	Herbert Rudley
Antonina Armato	Antonina Armato
Bismarck du Plessis	Bismarck du Plessis
Oskar Antze	Oskar Antze
Jean Joseph Rabearivelo	Jean-Joseph Rabearivelo
Inva Mula	Inva Mula
Tom Hamilton (musician)	Tom Hamilton
Albert Charles Smith	Albert Charles Smith
Francisco de Hoces	Francisco de Hoces
Maria Goretti	María Goretti
Dmitry Kabalevsky	Dmitri Kabalevski
Parmys	Parmis
Eustorgius I	Eustorgio
Ramón Marsal	Ramón Marsal
Ivana Baquero	Ivana Baquero
Angelo Musi	Angelo Musi
Stefan Niesiołowski	Stefan Niesiołowski
Edgar Mejía	Edgar Mejía
Beate Sturm	Beate Sturm
Werewere Liking	Werewere-Liking Gnepo
Isabell Werth	Isabell Werth
Italo Campanini	Italo Campanini
Vule Avdalović	Vule Avdalović
Jean Jacques Machado	Jean Jacques Machado
Marcelo Díaz	Marcelo Díaz (futbolista)
Arthur Rosenberg	Arthur Rosenberg
Thanom Kittikachorn	Thanom Kittikachorn
Tawfiq Ziad	Tawfiq Ziyad
Matthias Erzberger	Matthias Erzberger
Alla Pavlova	Ala Pávlova
Otto Waalkes	Otto Waalkes
Guillermo O'Donnell	Guillermo O'Donnell
Charles F. Haanel	Charles F. Haanel
Joseba Elosegi	Joseba Elósegui
Guglielmo Stendardo	Guglielmo Stendardo
Nicanor (satrap)	Nicanor (sátrapa)
Alikhan Bokeikhanov	Alikhan Bokeikhanov
Asher Keddie	Asher Keddie
Antonios Naguib	Antonio Naguib
Mona Caird	Mona Caird
Iñaki de Juana Chaos	Iñaki de Juana Chaos
Dan K. McNeill	Dan K. McNeill
Claudiu Keserü	Claudiu Keserü
Himilco	Himilcón (navegante)
Francis William Aston	Francis Aston
José Leite de Vasconcelos	Leite de Vasconcelos
Giacomo Puccini	Giacomo Puccini
Bill Keller	Bill Keller
François Lespingola	François Lespingola
Prince Carl, Duke of Västergötland	Carlos de Västergötland
Andrei Platonov	Andréi Platónov
Carole Montillet	Carole Montillet
Emeterio Gutiérrez Albelo	Emeterio Gutiérrez Albelo
András Szőllősy	András Szőllősy
Tobin J. Marks	Tobin Marks
Ali ibn Umar	Alí ben Umar
Bennie Swain	Bennie Swain
Girolamo Lucenti	Girolamo Lucenti
Charles Philip, Duke of Södermanland	Carlos Felipe Vasa
Brigitta Bulgari	Brigitta Bulgari
Gerard Butler	Gerard Butler
Victoria Ocampo	Victoria Ocampo
Ramón Castro (third baseman)	Ramón Alfredo Castro
Lily Brayton	Lily Brayton
Anand Panyarachun	Anand Panyarachun
Dave Gambee	Dave Gambee
Dan Quayle	Dan Quayle
Charlene Choi	Charlene Choi
Marcello Cuttitta	Marcello Cuttitta
Luis Miguel Martín	Luis Miguel Martín Berlanas
Yevgeny Polivanov	Yevgeni Polivánov
William Zabka	William Zabka
Detlef Schrempf	Detlef Schrempf
Louis Armand	Louis Armand
Colleen Brennan	Colleen Brennan
Chris Duhon	Chris Duhon
José Iturbi	José Iturbi
Enric Miralles	Enric Miralles
Powers Boothe	Powers Boothe
Giovanni Trapattoni	Giovanni Trapattoni
Thomas Betterton	Thomas Betterton
Nicholas F. Brady	Nicholas F. Brady
Abdou Diouf	Abdou Diouf
Mona Simpson	Mona Simpson
Nathan of Gaza	Nathan de Gaza
Antonio Damasio	António Damásio
Jeff Judkins	Jeff Judkins
Anna Vissi	Anna Vissi
Eden Phillpotts	Eden Phillpotts
August Wilhelm Iffland	August Wilhelm Iffland
Masato Harada	Masato Harada
Jean-Jacques Gosso	Jean-Jacques Gosso
Joseph Chinard	Joseph Chinard
Nancy Walker	Nancy Walker
Eric Wyndham White	Eric Wyndham White
Trugernanner	Truganini
William Shenstone	William Shenstone
Shōhei Imamura	Shōhei Imamura
Paqui	Paqui Veza
Werner Jaeger	Werner Wilhelm Jaeger
L.A. Lopez	L.A. López
Alcaeus of Mytilene	Alceo de Mitilene
Eliza Poe	Elizabeth Arnold Poe
Hugh Dancy	Hugh Dancy
Odo of France	Eudes de Francia
Alain de Mijolla	Alain de Mijolla
Adrián Escudero	Adrián Escudero
Anne of Austria, Margravine of Brandenburg	Ana de Habsburgo (1280-1327)
Matthias Reim	Matthias Reim
Crescenzio Sepe	Crescenzio Sepe
Alden Ehrenreich	Alden Ehrenreich
Katja Seizinger	Katja Seizinger
David Lloyd (comics)	David Lloyd
Hans Staden	Hans Staden
Matt Hoopes	Matt Hoopes
Wilhelm von Schütz	Wilhelm von Schütz
Phil Dent	Phil Dent
Miguel Layún	Miguel Layún
Yoshiko Ōtaka	Yoshiko Ōtaka
Prokopy Lyapunov	Prokopi Liapunov
Alois Eliáš	Alois Eliáš
Lucius Marcius Philippus (consul 56 BC)	Lucio Marcio Filipo (cónsul 56 a. C.)
Juan Tejera	Juan Andrés Tejera
Raul Solnado	Raul Solnado
Vikash Dhorasoo	Vikash Dhorasoo
Chad Hunt	Chad Hunt
Jorge Azkoitia	Jorge Azkoitia Gabiola
Orodes III of Parthia	Orodes III
Pedro Juan Soto	Pedro Juan Soto
Kvĕta Pacovská	Kveta Pacovská
Box Car Racer	Box Car Racer
Albert Avogadro	Alberto de Jerusalén
Gordon Willey	Gordon Willey
Nicolai Gedda	Nicolai Gedda
Peter Norton	Peter Norton
Grim Natwick	Grim Natwick
Willie Roaf	Willie Roaf
Kiki Musampa	Kiki Musampa
Larry Kusche	Larry Kusche
Martin Gabel	Martin Gabel
Prince Akishino	Fumihito
Daniel Branca	Daniel Branca
Christian Ferdinand Abel	Christian Ferdinand Abel
Catulle Mendès	Catulle Mendès
Grand Duke Alexander Alexandrovich of Russia	Alejandro Aleksándrovich Románov
Philopoemen	Filopemen
Peter Seeberg	Peter Seeberg
Christina Metaxa	Christina Metaxa
Richard Ellmann	Richard Ellmann
Oliver Heaviside	Oliver Heaviside
Pieter van der Aa	Pieter van der Aa
Eliseu Visconti	Eliseu Visconti
Sergei Anatolyevich Starostin	Sergéi Stárostin
Bernd Eichinger	Bernd Eichinger
Juan José Roman	Juan José Román
Ian Roberts (rugby league)	Ian Roberts (jugador de rugby)
Jean Améry	Jean Améry
Jeanne Guyon	Jeanne Marie Bouvier de la Motte Guyon
André Juillard	André Juillard
Charlie Byrd	Charlie Byrd
Aldair	Aldair
Oisín Kelly	Oisín Kelly
Josep Llimona i Bruguera	Josep Llimona
Emilio Botín	Emilio Botín
François Jouffroy	François Jouffroy
Enzo Artoni	Enzo Artoni
Ian Bryce	Ian Bryce
Donald Winnicott	Donald Woods Winnicott
Pope Benedict II	Benedicto II
Cristina Rota	Cristina Rota
Rufinus (consul)	Rufino (prefecto)
Jesper Olsen	Jesper Olsen
Milan Nikolić (musician)	Milaan
Stefan Reinartz	Stefan Reinartz
Pero Antić	Pero Antić
Eleanor of Aragon, Queen of Castile	Leonor de Aragón y de Sicilia
Rosalío Cortés	Rosalío Cortés
Edgardo Massa	Edgardo Massa
Antonio Sant'Elia	Antonio Sant'Elia
Adhemar de Barros	Adhemar Pereira de Barros
Alejandro Spajic	Alejandro Spajić
Pope Pius V	Pío V
Igor Andreev	Igor Andreev
Reginald Smith Brindle	Reginald Smith Brindle
Caroline John	Caroline John
Joost Swarte	Joost Swarte
Cheli (footballer)	José Manuel González Ortiz
William Henry Jackson	William Henry Jackson
Pablo Pérez Álvarez	Pablo Pérez Álvarez
Aaron McKie	Aaron McKie
Richard Boushka	Dick Boushka
Miloš Crnjanski	Miloš Crnjanski
Michiko Nomura	Michiko Nomura
Roni Bandini	Roni Bandini
Toni Moral	Toni Moral
Thomas MacGreevy	Thomas MacGreevy
Héctor Babenco	Héctor Babenco
Oscar Galíndez	Oscar Galíndez
Jane Rule	Jane Vance Rule
Pope Gregory VI	Gregorio VI
Harlow Curtice	Harlow Curtice
Ludovic Giuly	Ludovic Giuly
Funso Ojo	Funso Ojo
Gastón Esmerado	Gastón Esmerado
Giulietta Masina	Giulietta Masina
Pierre Richard	Pierre Richard
Pope Gregory XI	Gregorio XI
Wayne Gardner	Wayne Gardner
Luis Hernán Mosquera	Luis Hernán Mosquera
William Keppel, 7th Earl of Albemarle	William Keppel
Greg Aquino	Greg Aquino
Wilhelm Bendz	Wilhelm Bendz
Elaine Hendrix	Elaine Hendrix
Sergei Rublevsky	Sergéi Rubliovski
Enric Vallès	Enric Vallès
Lawrence Hilton-Jacobs	Lawrence Hilton-Jacobs
Eduino Carbonó	Eduino Carbonó
Kamal-ol-molk	Kamal-ol-molk
Alberto Gilardino	Alberto Gilardino
Moonbabies	Moonbabies
William Butler (musician)	William Butler
Oliverotto Euffreducci	Oliverotto da Fermo
Anton Mauve	Anton Mauve
Prem Tinsulanonda	Prem Tinsulanonda
Jorge Eduardo Costilla Sánchez	Jorge Eduardo Costilla Sánchez
Philip Johnson	Philip Johnson
Petr Ginz	Petr Ginz
Abby Singer	Abby Singer (película)
Marie I, Countess of Boulogne	María de Boulogne
Roxana Saberi	Roxana Saberi
Orazio Gentileschi	Orazio Gentileschi
Ashur-nirari V	Ashur-nirari V
Graeme Brown	Graeme Brown
Gerry Conway (musician)	Gerry Conway (músico)
Jagged Edge (group)	Jagged Edge
Diego Figueredo	Diego Figueredo
Sixto Santa Cruz	Sixto Santacruz
New Statesman	New Statesman
Johann Baptist Cramer	Johann Baptist Cramer
Dathus	Dato de Rávena
Steven Pressley	Steven Pressley
James G. Wilson	James G. Wilson
Olga of Kiev	Olga de Kiev
Michael Wilson (guitarist)	Michael Wilson (guitarrista)
Aharon Appelfeld	Aharon Appelfeld
Oscar Jacobsson	Oscar Jacobsson
Åsa Westlund	Åsa Westlund
Grand Duke Konstantin Nikolayevich of Russia	Constantino Nikolaevich de Rusia
Daniel Dantas	Daniel Dantas
Aubrey Thomas de Vere	Aubrey Thomas de Vere
Yang Peiyi	Yang Peiyi
Bartolus de Saxoferrato	Bártolo de Sassoferrato
Ángel Atienza	Ángel Atienza
Alexandros Alexandris	Alexandros Alexandris
Carlo Porta	Carlo Porta
Seamus Elliott	Seamus Elliott
Cuthbert Girdlestone	Cuthbert Girdlestone
Józef Lewoniewski	Józef Lewoniewski
Răzvan Cociș	Răzvan Cociș
Philip Taaffe	Philip Taaffe
Séraphine Louis	Séraphine Louis
Lilian Jégou	Lilian Jégou
Dudley Bradley	Dudley Bradley
Juan de Ribera	Juan de Ribera
William I of Bures	Guillermo I de Bures
Heinrich Brandt	Heinrich Brandt
François Cevert	François Cevert
Pierre Bérégovoy	Pierre Bérégovoy
Robert Trujillo	Robert Trujillo
Rudolph Minkowski	Rudolph Minkowski
Konstantin Zyryanov	Konstantín Ziriánov
Camillo Sitte	Camillo Sitte
Eleanor of Aquitaine	Leonor de Aquitania
Benjamín Mendoza y Amor Flores	Benjamín Mendoza y Amor Flores
Michael Wright (cyclist)	Michael Wright (ciclista)
Ali Sayad Shirazi	Ali Sayad Shirazi
Luther Burbank	Luther Burbank
Ivan Murray Johnston	Ivan Murray Johnston
Massimo Margiotta	Massimo Margiotta
Moussa Narry	Moussa Narry
Tatyana Petrova Arkhipova	Tatyana Petrova Arkhipova
Stateira II	Barsine-Estatira
William Lindsay Windus	William Lindsay Windus
Andrés Franzoia	Andrés Franzoia
Louis, Duke of Durazzo	Luis de Durazzo
Valerio Zurlini	Valerio Zurlini
Duncan Patterson	Duncan Patterson
Walter Arencibia	Walter Arencibia Rodríguez
Tom Black (basketball)	Tom Black (baloncestista)
Carlos Hugo Christensen	Carlos Hugo Christensen
Phil Bond	Phil Bond
Roberto "Pajarito" Buitrago	Roberto Buitrago
Domitilla the Elder	Domitilla la Mayor
Brian Hall (referee)	Brian Hall
Maria Domenica Mazzarello	María Mazzarello
Angelo Comastri	Angelo Comastri
Richard August Reitzenstein	Richard August Reitzenstein
Harriet Hoctor	Harriet Hoctor
Vahan Terian	Vahan Terian
Simone Veil	Simone Veil
Adrián López Álvarez	Adrián López Álvarez
Abdallah of Morocco	Abdallah IV de Marruecos
Thomas Linley the younger	Thomas Linley (hijo)
Louis-Gabriel Guillemain	Louis-Gabriel Guillemain
Jorge Aguilar	Jorge Aguilar
Maurice Carême	Maurice Carême
Manne Siegbahn	Manne Siegbahn
Reginald Farrer	Reginald John Farrer
Jef Planckaert	Jef Planckaert
Hans Conried	Hans Conried
Eduardo Hernández-Sonseca	Eduardo Hernández-Sonseca
Hugh de Lacy, Lord of Meath	Hugh de Lacy
Philip K. Paulson	Philip Kevin Paulson
Petr Shelokhonov	Piotr Shelojónov
Édouard Roger-Vasselin	Edouard Roger-Vasselin
Steve Cummings	Steve Cummings
Joseph Maria Gordon	José María Gordon Prendergast
Sabine Dünser	Sabine Dünser
Bob Steele (actor)	Bob Steele
Enrique Vidallé	Enrique Vidallé
Romi Dames	Romi Dames
Setnakhte	Sethnajt
Miguel Ángel Revilla	Miguel Ángel Revilla
Jake Burbage	Jake Burbage
Stipe Drews	Stipe Drviš
Tótem	Totem (banda)
Zero Mostel	Zero Mostel
Maurice Keen	Maurice Keen
Henri Martin (politician)	Henri Martin
David del Puerto	David del Puerto
John Smith (actor)	John Smith (actor)
Newsboys	Newsboys
Mario Palanti	Mario Palanti
Nicolás Guillén Landrián	Nicolás Guillén Landrián
Lippo Memmi	Lippo Memmi
Jörg Müller (cyclist)	Jörg Müller (ciclista)
Lucius Arruntius Camillus Scribonianus	Lucio Camilo Arruntio Escriboniano
Aíto García Reneses	Aíto García Reneses
Pete Mickeal	Pete Mickeal
Joel Madden	Joel Madden
Stanley Kamel	Stanley Kamel
Daniel Killer	Daniel Killer
Emanuel Wynn	Emanuel Wynne
Andrés Laguna	Andrés Laguna
Alan Hale (astronomer)	Alan Hale
Elizabeth Roemer	Elizabeth Roemer
Miguel Montuori	Miguel Montuori
Ian Parker (psychologist)	Ian Parker
Arkadii Dragomoshchenko	Arkadii Dragomoshchenko
Robert Oliveri	Robert Oliveri
Allan Lalín	Allan Lalin
Junior Morales	Junior Exequiel Morales Maradiaga
Tomé Barbosa de Figueiredo Almeida Cardoso	Tomé Barbosa de Figueiredo Almeida Cardoso
Ku Hye-sun	Koo Hye Sun
Willi Stoph	Willi Stoph
Haing S. Ngor	Haing S. Ngor
Marsha M. Linehan	Marsha M. Linehan
George F. Marion	George F. Marion
Thomas FitzStephen	Thomas FitzStephen
Karl Polanyi	Karl Polanyi
Vincent-Marie Viénot, Count of Vaublanc	Vincent-Marie Viénot de Vaublanc
Antonio de Mendoza	Antonio de Mendoza y Pacheco
Carlos Trullet	Carlos Trullet
John Kucera	John Kucera
Thomas Mitchell (actor)	Thomas Mitchell
Sara Baras	Sara Baras
Theodor Plievier	Theodor Plievier
Mercedes Ruehl	Mercedes Ruehl
Timoteo Viti	Timoteo Viti
E. Neville Isdell	E. Neville Isdell
Tomás Carbonell	Tomás Carbonell
Jorge Bernal	Jorge Bernal
Basil Bernstein	Basil Bernstein
Dååth	Daath
Aaron Klug	Aaron Klug
Riccardo Ferri	Riccardo Ferri
Ayumi Shiina	Ayumi Shiina
Christian Bakkerud	Christian Bakkerud
Lara Dutta	Lara Dutta
Gerard Gordeau	Gerard Gordeau
Maurice Herlihy	Maurice Herlihy
Tomás Méndez	Tomás Méndez
Barbara Nath-Wiser	Barbara Nath-Wiser
Charles Edward, Duke of Saxe-Coburg and Gotha	Carlos Eduardo de Sajonia-Coburgo-Gotha
