name_eng	name_spa
Tim Russ	Tim Russ
Maureen Forrester	Maureen Forrester
Bernardino Piñera	Bernardino Piñera
John Tong Hon	John Tong Hon
Concha Meléndez	Concha Meléndez
Inul Daratista	Inul Daratista
Glenn Hysén	Glenn Hysén
Nivaria Tejera	Nivaria Tejera
Kosuke Kitajima	Kōsuke Kitajima
Alejandro Alonso Núñez	Alejandro Alonso Núñez
Clemens Walch	Clemens Walch
George Samuel Perrottet	Georges Guerrard Samuel Perrottet
Hasan Hayle	Hasan Hayle
Gilbert Walker	Gilbert Walker
Freestyle wrestling	Lucha libre olímpica
George French Angas	George French Angas
Arnaldo Momigliano	Arnaldo Momigliano
Leucippus	Leucipo de Mileto
Jordi Arquer	Jordi Arquer
Darwood Kaye	Darwood Kaye
Rupert Keegan	Rupert Keegan
Eugenio Castellotti	Eugenio Castellotti
James M. Chaney	James M. Chaney
Tancred, Prince of Galilee	Tancredo de Galilea
Gerhard Lamprecht	Gerhard Lamprecht
Karen Blixen	Karen Blixen
Júlio Prestes	Júlio Prestes
Alon Mizrahi	Alon Mizrahi
Juan Sánchez Sotelo	Juan Sánchez Sotelo
Kerry Conran	Kerry Conran
Shawn Ashmore	Shawn Ashmore
Binnie Hale	Binnie Hale
Guy Chambers	Guy Chambers
Jean-Baptiste Belley	Jean-Baptiste Belley
Adriaan van Wijngaarden	Adriaan van Wijngaarden
Magdalena Sibylla of Neidschutz	Magdalena Sibylla de Neidschutz
Aulus Caecina Alienus	Aulo Cecina Alieno
Alina Kabaeva	Alina Kabáyeva
Ramón Eguiazábal	Ramón Eguiazábal
Juan Asenjo Pelegrina	Juan José Asenjo Pelegrina
Bud Freeman	Bud Freeman
Sydenham Edwards	Sydenham Edwards
Kees Kwakman	Kees Kwakman
Manos: The Hands of Fate	Manos: The Hands of Fate
Abasse Ba	Abasse Ba
Nicolás Rodríguez Peña	Nicolás Rodríguez Peña
Eustaquio Díaz Vélez	Eustoquio Díaz Vélez
Karl-Johan Johnsson	Karl-Johan Johnsson
Eduardo Alonso Colmenares	Eduardo Alonso Colmenares
Tarra White	Tarra White
Olof (I) of Sweden	Olof de Suecia
Guido Guinizelli	Guido Guinizelli
Pik Botha	Pik Botha
Andrea Leeds	Andrea Leeds
Alexander Marinesko	Alexander Marinesko
Yaropolk II of Kiev	Yaropolk II
Valentin Serov	Valentín Serov
Valentín González	Valentín González
Pamela Salem	Pamela Salem
Ryōka Shima	Ryouka Shima
William Roxburgh	William Roxburgh
Stephen Hadley	Stephen Hadley
Bijou Phillips	Bijou Phillips
Chiaki Kuriyama	Chiaki Kuriyama
Matthew McGrory	Matthew McGrory
Roope Latvala	Roope Latvala
Cymburgis of Masovia	Cimburgia de Masovia
Tomoe Tamiyasu	Tomoe Tamiyasu
Nils Petter Molvær	Nils Petter Molvær
Johannes Burman	Johannes Burman
Michel Sardou	Michel Sardou
Frukwan	Frukwan
Giovanni Battista Guadagnini	Giovanni Battista Guadagnini
Claudia Muzio	Claudia Muzio
Galeas von Thun und Hohenstein	Galeazzo von Thun und Hohenstein
Abraham González (governor)	Abraham González Casavantes
Claudia Poll	Claudia Poll
Ulrich von Hutten	Ulrich von Hutten
