#article_name 	topic_name1,topic_prop1	topic_name2,topic_prop2...
Archie_Jackson	sports,0.6053087132140796	family life,0.21234852856318523	military,0.06924408540103866	film/tv,0.025966532025389497	royalty,0.023658395845354875	music,0.023658395845354875	orchestra,0.01154068090017311	politics,0.010963646855164455	church/royalty,0.010963646855164455	literature + other,0.006347374495095211
Art_Houtteman	sports,0.1780821917808219	politics,0.1232876712328767	military,0.1095890410958904	film/tv,0.1095890410958904	orchestra,0.0958904109589041	family life,0.0821917808219178	church/royalty,0.0821917808219178	music,0.0821917808219178	literature + other,0.0684931506849315	royalty,0.0684931506849315
Art_Ross	sports,0.7169117647058824	family life,0.09558823529411764	military,0.04963235294117647	film/tv,0.02389705882352941	orchestra,0.02389705882352941	literature + other,0.022058823529411766	politics,0.022058823529411766	royalty,0.016544117647058824	music,0.016544117647058824	church/royalty,0.012867647058823529
Arthur_Ernest_Percival	military,0.42725298588490773	politics,0.30564603691639525	family life,0.0988056460369164	royalty,0.03637350705754615	film/tv,0.03528773072747014	church/royalty,0.02768729641693811	sports,0.023344191096634093	literature + other,0.02225841476655809	music,0.014115092290988056	orchestra,0.009229098805646038
Arthur_Lewis_Sifton	sports,0.15873015873015872	politics,0.14285714285714285	royalty,0.1111111111111111	military,0.09523809523809523	church/royalty,0.09523809523809523	family life,0.07936507936507936	literature + other,0.07936507936507936	film/tv,0.07936507936507936	orchestra,0.07936507936507936	music,0.07936507936507936
Arthur_Morris	sports,0.46846846846846846	politics,0.08108108108108109	military,0.07207207207207207	film/tv,0.07207207207207207	family life,0.05405405405405406	literature + other,0.05405405405405406	church/royalty,0.05405405405405406	music,0.05405405405405406	royalty,0.04504504504504504	orchestra,0.04504504504504504
Aspasie	literature + other,0.3991537376586742	family life,0.19464033850493653	military,0.12129760225669958	church/royalty,0.0930888575458392	politics,0.06346967559943582	royalty,0.04090267983074753	film/tv,0.0380818053596615	sports,0.019746121297602257	orchestra,0.018335684062059238	music,0.011283497884344146
Assassinat_de_William_McKinley	politics,0.34973325429756963	family life,0.3023117960877297	military,0.22703023117960877	literature + other,0.026674570243034972	film/tv,0.023117960877296978	music,0.023117960877296978	sports,0.01778304682868998	church/royalty,0.01066982809721399	orchestra,0.01066982809721399	royalty,0.00889152341434499
Attale_Ier	church/royalty,0.36432160804020103	royalty,0.1708542713567839	family life,0.09798994974874371	military,0.09296482412060302	literature + other,0.09045226130653267	sports,0.05778894472361809	politics,0.03768844221105527	orchestra,0.035175879396984924	music,0.03015075376884422	film/tv,0.022613065326633167
Audioslave	music,0.6407185628742516	sports,0.12275449101796407	military,0.05089820359281437	family life,0.04491017964071856	film/tv,0.038922155688622756	politics,0.029940119760479042	orchestra,0.02694610778443114	literature + other,0.014970059880239521	church/royalty,0.014970059880239521	royalty,0.014970059880239521
