	Art	Business	Education	Explorers	Humanities	Law	Literature	Media	Music	Personal	Politics	Religion	Royalty	Science	Sports	Warfare	Other
Hugh de Neville	0.000456899751802667	0.00409745186570433	0.00623745930172	0.0294570341127973	0.000615066199133333	0.0677659929269667	0.000959938218049	0.00194444468684333	0.000888982270904667	0.0267268072778	0.00682881074729667	0.000488384407681667	0.609768603261333	0.00791048899713467	0.00116493601546867	0.0350070051243007	0.199681694835
Hugh Trumble	0.001198619426072	0.000170968005751333	0.00112012864488033	0.00182179980326	0.000764336197683667	0.000259924690550667	0.00483643191676333	0.023255561852526	0.00335413406050667	0.224814012486667	0.001107951036261	4.92548302625e-05	0.000683095556655333	0.000199694252612733	0.480924029586	0.00481113477426933	0.25062892288
Hygeberht	0.000127869458088333	0.00307411395569667	0.000789931993898	0.0001595747959048	0.00171932261819667	0.000654582743898	0.000466437666096333	0.00346415414115	0.000351907644469	0.00189911137611	0.00507137284334667	0.351147714625333	0.211168314932333	0.000459101004632933	0.000763509914266667	0.002795539453978	0.415887440833
Ian Chappell	8.40739872116333e-05	0.00797190858781667	0.0223130590888333	0.00244638768331333	0.00624373626881	0.000459135495284333	0.0197069131235333	0.0694501325665667	0.00115781928315	0.0827090425543667	0.0287039750665	4.53347243564333e-05	0.000725816770962	0.000642569338737333	0.503874621806333	0.0010337854301682	0.252431688224
Ian Craig	0.000179843544829	0.0113115373243	0.019013415378	0.000278787991184333	0.000223706490784667	0.000119309108854567	0.000861607942181	0.0115514511409333	0.0098999349102	0.0986448940746333	0.0276874026129333	5.37348741878e-05	0.00274162719008367	0.001006826653237	0.575092281387333	0.002817720118665	0.238515919258
Ian Dougald McLachlan	0.0003471717388	0.0276949791811667	0.125156121261333	0.044142480796352	0.010338580229728	0.000253092902576333	0.000907280023437	0.0175262572181333	0.000712485062013667	0.00333319521776	0.0651142107077333	0.000223655239298	0.00552974054915333	0.0215313369350277	0.000948497422893333	0.501205149269667	0.175035766245333
Ian Johnson (cricketer)	8.80804564054e-05	0.000358005309154333	0.00186992285942	0.00833372439121333	0.000651140179077	0.000425022977686	0.00407358954552	0.0346314896935567	0.00247317452052	0.136214382918667	0.0246859755801667	0.000370673354365667	0.000509458797902133	0.000319272663656	0.514451372638667	0.00674607106044667	0.263798643053
Ian Meckiff	5.57582497056667e-05	0.000519495797450333	0.000184882771122	0.0009767145791351	0.001214066017813	0.0661213853379	0.000705191179082667	0.0509292556735067	0.000729279742624333	0.0956103656612333	0.0189616999654	3.57745302116e-05	0.002718931380214	3.23448417950667e-05	0.465839330751333	0.005650527238312	0.289714996283
Insane Clown Posse	0.000648604854336667	0.0166820075498333	0.000231120840154667	0.0004922336021998	0.0128136755317233	0.0970869531187	0.00927736464322667	0.192050290909	0.370265811019	0.00350690973956667	0.000239754286609	0.00133932236003367	8.92606505487333e-05	0.00621939871556657	0.0450943599010667	0.000398598670407667	0.243564333608
Ion Heliade Rădulescu	0.0218486105769	0.0112698954881733	0.0361278916510667	0.0001690390868888	0.126481798080367	0.0003164726215215	0.252615212677333	0.00191962144645	0.00119325631963033	0.00479380295115	0.201741375861	0.00461042123502933	0.0288198852021333	0.000309500800667233	0.00011496173919	0.00242410126262133	0.305244153000333
