ARTICLE_NAME	Art	Business_and_economics	Exploration	Law_and_crime	Life	Literature	Music	Politics	Popular_culture	Science_and_technology	Sports	TV_and_film	War_and_military
Radislav Krstić	0.015997465748	0.0166310287479	0.0151263166231	0.172170745228	0.0460125128692	0.00578126237428	0.00847390512394	0.0965391621129	0.00443494099945	0.0460917082442	0.0216995327473	0.015759879623	0.347984477707
Radovan Karadžić	0.013023255814	0.0222222222222	0.0176744186047	0.304909560724	0.0331782945736	0.0224289405685	0.00599483204134	0.220258397933	0.0136434108527	0.0288372093023	0.0407235142119	0.00682170542636	0.100568475452
Rafael Benítez	0.00576519916143	0.0319706498952	0.00157232704403	0.0115303983229	0.0476356860005	0.00669694852085	0.00780340088516	0.043617516888	0.00337759142791	0.0131609597018	0.599231306778	0.00471698113208	0.0120545073375
Rafael Bombelli	0.0579365079365	0.00654761904762	0.0156746031746	0.0202380952381	0.0779761904762	0.0289682539683	0.0105158730159	0.0210317460317	0.0126984126984	0.312896825397	0.0259920634921	0.00873015873016	0.0132936507937
Rafael Caldera	0.0124529394729	0.0883289892847	0.00907423496476	0.028284583454	0.0752968433246	0.00810889081958	0.00743314991795	0.527850178589	0.0142870933488	0.051549377353	0.0286707211121	0.00791582199054	0.0317598223767
Rafael Coronel	0.37037037037	0.0223703703704	0.00962962962963	0.0404444444444	0.111407407407	0.0216296296296	0.0306666666667	0.0303703703704	0.0271111111111	0.0257777777778	0.0408888888889	0.0148148148148	0.00696296296296
Rafael Eitan	0.0342240975152	0.0223472417565	0.030629785904	0.0736052508204	0.0406313486482	0.0170339115487	0.00796999531177	0.234567901235	0.0103141115799	0.0376621347085	0.04344428817	0.00922019065479	0.252695733708
Rafael Hernández Colón	0.0298171589311	0.133052039381	0.0177215189873	0.02194092827	0.0846694796062	0.0270042194093	0.0151898734177	0.344303797468	0.0222222222222	0.05935302391	0.0661040787623	0.031223628692	0.00928270042194
Rafael Kubelík	0.0293462861769	0.0174053835256	0.00829791540174	0.0548471969237	0.112325440194	0.0109289617486	0.318154219794	0.070228698644	0.00769075086015	0.0208459825946	0.0595021250759	0.0137623962761	0.0291438979964
Rafael Leonardo Junchaya	0.0360474978796	0.0122985581001	0.011026293469	0.0135708227311	0.0313825275657	0.029262086514	0.559372349449	0.019508057676	0.0106022052587	0.0665818490246	0.0398642917727	0.0229007633588	0.00763358778626
Rafael Márquez Lugo	0.0153974198918	0.00873907615481	0.0166458593425	0.0191427382439	0.0387016229713	0.0170620058261	0.0216396171452	0.0178942987932	0.0116521015397	0.0170620058261	0.717436537661	0.0287141073658	0.00790678318768
Rafael Osuna	0.0280786201364	0.0170477336542	0.0146409947854	0.0377055756117	0.126153229041	0.026875250702	0.0224628961091	0.0316887284396	0.016446048937	0.0216606498195	0.524468511833	0.00922583233053	0.02587244284
Rafael Pi Belda	0.415810083211	0.0100342633382	0.0237395986295	0.0200685266765	0.0619187469408	0.0296133137543	0.0227606461087	0.0186000978953	0.0107684777288	0.0396475770925	0.0721977484092	0.0266764561919	0.0100342633382
Rafael van der Vaart	0.0828397694069	0.0160309563295	0.00331674958541	0.0229013661849	0.0525152017689	0.00458027323699	0.00521203506278	0.00647555871436	0.0249545921188	0.00600173734502	0.61494116718	0.0115296533207	0.00355366027008
