	Art	Business	Education	Explorers	Humanities	Law	Literature	Media	Music	Personal	Politics	Religion	Royalty	Science	Sports	Warfare	Other
Estela Giménez	0.00346483270069967	0.0003103032672463	0.0577501969209333	0.000340774250186333	0.0001582586575584	0.000195591711178933	0.0105030731243403	0.339722030285667	0.0244608900985333	0.0137397739979367	0.04445494843676	8.55402054924667e-05	9.23015387916333e-05	0.00621164860128067	0.346595645797	0.000103882673759367	0.151810307732333
Eva Perón	0.0240966699753	0.0239764425645333	0.0213284713056367	0.000291681862713667	0.0284921361568333	0.0339802016258667	0.0378377442774	0.0702451168713667	0.0105889982396133	0.168920223988333	0.164910155700333	0.0125684389000533	0.00159968876315867	0.00105355549513133	0.005816159249634	0.020575715958	0.373718599066333
Francisco de Zurbarán	0.325712994503	0.00465967151050667	0.00635553498728333	0.00563394369015	0.0300658253201	0.000589175628987333	0.0269037866189333	0.000918758091645667	0.000105428249976467	0.117021895988447	0.000260398011053	0.159039527875667	0.0288636820595	0.00202677602085877	0.01069876605691	0.002276522428218	0.278867312958667
Frédéric Chopin	0.0254055639154	0.000424738119009167	0.00725662431101667	0.00994760989291	0.00646063345288433	0.0001935511661718	0.0747504864172	0.0147589510382667	0.303886005262	0.144682288093667	0.0208610170614667	0.000490918711867333	0.0240256159675333	0.00385666017094	0.001134297598205	0.000241077133007333	0.361623961688333
Gregorio Nacianceno	0.0043960386184	0.000283585623653333	0.00805637600555467	0.0008205712770064	0.0914744412561333	0.000504025942421667	0.0740804061444667	0.0151176949334	0.000408186224537	0.0550084287768667	0.0118313164449467	0.388172287219333	0.0369017991723513	0.000191830831105433	0.031242635945	0.013013210008519	0.268497165576667
Guillén de Castro	0.00496582844985667	0.000826916753811	0.00465345581306667	0.000333335994022	0.0867044108552	0.000720530283111333	0.342131142356333	0.0478162070240667	0.00294188230651433	0.0499363578678113	0.000250251587960667	0.0276649041746333	0.111129084598	0.000202026398390367	0.000468917554206667	0.005735120749336	0.313519627233
Heath Ledger	2.70294992969e-05	0.000732731927359	0.0447086652818	2.09850949510667e-05	0.00057581695681	0.0610756944361333	0.182881330595667	0.407423194232667	0.0163853742867667	0.0857445054484	0.00794984171378867	8.44645914501667e-05	0.000155941104457	0.00918374957978667	0.0205057565421	6.49581495682333e-05	0.162479960559667
Hermanos Pinzón	0.00221167691816633	0.005614865625248	0.0105239816267933	0.287574793094	0.0143582405384	0.0134711305792533	0.0647111235721333	0.0672868636353	0.000182227326185333	0.0285418693065333	0.00976456771893433	0.0283988070401333	0.0703128382822667	0.00156709416138833	0.00476513576018333	0.0340837761600667	0.356631008654667
Hipócrates	0.0196970155300333	0.000269490986260667	0.0307372287805667	0.00369002005569947	0.0840571887301	0.00476342246220333	0.109458375607033	0.0275724704059	0.000344594737431333	0.0996395138581667	0.00397270996922733	0.0461857783345833	0.001539763475374	0.233249586766	0.0115294005806567	0.0012188626296447	0.322074577091333
Hipólito Bouchard	0.000953680137069667	0.00123074675797967	0.00506887895819133	0.371584413594333	0.0003806607925893	0.0415664193384333	0.019214663909	0.00752833771824	0.000272931031130267	0.01006427542775	0.001910318386678	0.000136813898175733	0.00143674064299167	0.00652359024062567	0.01088024576333	0.305338379344667	0.215908904059
