#article_name 	topic_name1,topic_prop1	topic_name2,topic_prop2...
Joel_Brand	explorers,0.461704091048908	family,0.34912334666256534	military,0.09012611504152568	politics,0.04275607505382959	literature,0.015995078437403876	music,0.01168871116579514	royalty,0.011073515841279606	church/royalty,0.00984312519224854	cricket,0.003998769609350969	sports,0.003691171947093202
Joel_Selwood	sports,0.7655367231638418	family,0.0847457627118644	cricket,0.07021791767554479	literature,0.025423728813559324	politics,0.01775625504439064	explorers,0.012106537530266344	military,0.010088781275221953	royalty,0.00847457627118644	music,0.003228410008071025	church/royalty,0.002421307506053269
Joey_Santiago	music,0.6172741679873217	family,0.18938193343898574	literature,0.05705229793977813	politics,0.03248811410459588	explorers,0.02456418383518225	sports,0.022187004754358162	cricket,0.020602218700475437	royalty,0.018225039619651346	military,0.009508716323296355	church/royalty,0.008716323296354992
Jogaila	church/royalty,0.4891304347826087	family,0.18391304347826087	military,0.1608695652173913	royalty,0.10347826086956521	politics,0.019130434782608695	explorers,0.014347826086956521	sports,0.009565217391304347	cricket,0.00826086956521739	music,0.00608695652173913	literature,0.0052173913043478265
Johann_von_Klenau	military,0.6368602063524176	family,0.19866477847461056	church/royalty,0.05866882460044508	royalty,0.034998988468541374	explorers,0.030548250050576573	politics,0.020837548047744285	sports,0.010924539753186325	music,0.00303459437588509	literature,0.0028322880841594174	cricket,0.0026299817924337445
John_Balmer	military,0.7208943716268311	family,0.1295296838858905	cricket,0.040863531225905934	sports,0.023901310717039322	royalty,0.02158828064764842	music,0.016962220508866616	politics,0.016191210485736313	explorers,0.013878180416345412	church/royalty,0.009252120277563608	literature,0.006939090208172706
John_Barbirolli	music,0.5738337425464749	family,0.18730270080673447	royalty,0.06524026657313224	literature,0.05997895475271835	sports,0.03963521571378464	military,0.03963521571378464	politics,0.013328656611715188	church/royalty,0.011224131883549631	cricket,0.00526131182041389	explorers,0.004559803577692038
John_Brooke-Little	royalty,0.515625	family,0.13068181818181818	literature,0.1171875	military,0.10653409090909091	politics,0.052556818181818184	cricket,0.019886363636363636	sports,0.019176136363636364	church/royalty,0.016335227272727272	music,0.01278409090909091	explorers,0.009232954545454546
John_Calvin	church/royalty,0.4332096474953618	family,0.2982374768089054	royalty,0.10714285714285714	literature,0.07606679035250463	explorers,0.025278293135435993	politics,0.024350649350649352	military,0.016233766233766232	music,0.00927643784786642	sports,0.006957328385899814	cricket,0.003246753246753247
John_Churchill,_1st_Duke_of_Marlborough	royalty,0.4354575163398693	family,0.34558823529411764	military,0.1388888888888889	politics,0.027450980392156862	explorers,0.020098039215686276	church/royalty,0.011111111111111112	literature,0.008333333333333333	cricket,0.005718954248366013	music,0.004084967320261438	sports,0.0032679738562091504
John_Day_(printer)	family,0.2896440129449838	royalty,0.28398058252427183	literature,0.27750809061488674	church/royalty,0.061488673139158574	music,0.025080906148867314	explorers,0.01699029126213592	military,0.015372168284789644	sports,0.013754045307443365	politics,0.009708737864077669	cricket,0.006472491909385114
John_de_Gray	royalty,0.6810683424980362	family,0.12411626080125687	politics,0.08562450903377848	military,0.030636292223095052	church/royalty,0.02749410840534171	explorers,0.01178318931657502	cricket,0.01178318931657502	literature,0.010997643362136685	music,0.009426551453260016	sports,0.007069913589945012
John_Dee	family,0.2861072902338377	literature,0.2494268684089867	royalty,0.24896836313617607	church/royalty,0.07886290692342962	explorers,0.04630903255387437	music,0.02384227418615314	military,0.023383768913342505	politics,0.016506189821182942	sports,0.016047684548372305	cricket,0.01054562127464466
John_Douglas_(architect)	literature,0.43779342723004694	royalty,0.31220657276995306	family,0.1310641627543036	military,0.03247261345852895	church/royalty,0.027777777777777776	explorers,0.017605633802816902	sports,0.01134585289514867	music,0.010954616588419406	cricket,0.010172143974960876	politics,0.008607198748043818
John_Edward_Brownlee_as_Attorney-General_of_Alberta	politics,0.6337859424920128	family,0.2795527156549521	royalty,0.025559105431309903	literature,0.012380191693290734	music,0.011980830670926517	military,0.010383386581469648	sports,0.0075878594249201275	cricket,0.0075878594249201275	explorers,0.006789137380191693	church/royalty,0.00439297124600639
John_Edward_Brownlee_sex_scandal	politics,0.4633587786259542	family,0.4030534351145038	literature,0.04580152671755725	royalty,0.03015267175572519	military,0.013740458015267175	explorers,0.012213740458015267	cricket,0.012213740458015267	sports,0.010305343511450382	music,0.0061068702290076335	church/royalty,0.0030534351145038168
John_Francis_Jackson	military,0.6441082802547771	family,0.1679936305732484	sports,0.03821656050955414	royalty,0.03821656050955414	cricket,0.026273885350318472	literature,0.022292993630573247	music,0.022292993630573247	explorers,0.018312101910828025	politics,0.013535031847133758	church/royalty,0.00875796178343949
John_Frusciante	music,0.6431744151613858	family,0.2875333135919455	literature,0.027539236008291383	cricket,0.010364228605270951	politics,0.008587503701510216	sports,0.005626295528575659	explorers,0.005626295528575659	church/royalty,0.004441812259401836	military,0.00414569144210838	royalty,0.002961208172934557
John_J._Crittenden	politics,0.7537832310838446	family,0.17116564417177915	royalty,0.027811860940695297	military,0.013496932515337423	explorers,0.013292433537832311	literature,0.0075664621676891615	sports,0.004294478527607362	church/royalty,0.0036809815950920245	music,0.0026584867075664623	cricket,0.0022494887525562374
John_Knox	royalty,0.522357121705656	family,0.2759846017175007	church/royalty,0.1030500444181226	politics,0.03286941071957358	explorers,0.027539236008291383	military,0.009475866153390583	music,0.008587503701510216	cricket,0.008587503701510216	literature,0.005922416345869114	sports,0.005626295528575659
John_L._Helm	politics,0.7611190817790531	family,0.133428981348637	explorers,0.019368723098995694	military,0.017934002869440458	cricket,0.017934002869440458	literature,0.01291248206599713	royalty,0.012195121951219513	music,0.011477761836441894	church/royalty,0.007173601147776184	sports,0.006456241032998565
John_Lerew	military,0.6672794117647058	family,0.1795343137254902	royalty,0.028186274509803922	politics,0.02389705882352941	explorers,0.018995098039215685	music,0.018995098039215685	literature,0.01838235294117647	church/royalty,0.01838235294117647	sports,0.014093137254901961	cricket,0.012254901960784314
John_Lloyd_Waddy	military,0.5923709798055348	politics,0.16454749439042632	family,0.1024682124158564	cricket,0.03664921465968586	royalty,0.032909498878085267	sports,0.020942408376963352	literature,0.01795063575168287	explorers,0.014958863126402393	church/royalty,0.008975317875841436	music,0.008227374719521317
John_McCauley	military,0.7498213009292352	family,0.11794138670478914	politics,0.027162258756254467	explorers,0.0228734810578985	literature,0.017869907076483203	royalty,0.017869907076483203	sports,0.015725518227305217	church/royalty,0.014295925661186561	cricket,0.010721944245889922	music,0.005718370264474625
John_Michael_Wright	royalty,0.38665879574970485	family,0.24203069657615112	literature,0.1959858323494687	church/royalty,0.07733175914994096	explorers,0.0371900826446281	music,0.015348288075560802	sports,0.014167650531286895	cricket,0.014167650531286895	politics,0.00885478158205431	military,0.008264462809917356
John_Millington_Synge	literature,0.4817380352644836	family,0.26574307304785894	royalty,0.07619647355163728	explorers,0.037783375314861464	music,0.0371536523929471	sports,0.02959697732997481	church/royalty,0.02644836272040302	military,0.0163727959697733	cricket,0.0163727959697733	politics,0.012594458438287154
John_Treloar_(museum_administrator)	military,0.4888111888111888	family,0.24755244755244754	literature,0.10384615384615385	politics,0.06328671328671329	music,0.026223776223776224	sports,0.022727272727272728	cricket,0.021678321678321677	royalty,0.014685314685314685	church/royalty,0.006293706293706294	explorers,0.0048951048951048955
John_W._Johnston	politics,0.5752794214332676	family,0.25706771860618016	royalty,0.0650887573964497	literature,0.0210387902695595	military,0.01775147928994083	explorers,0.017094017094017096	sports,0.014464168310322156	cricket,0.012491781722550954	church/royalty,0.011834319526627219	music,0.007889546351084813
John_Wark	sports,0.6500718046912398	family,0.16898037338439445	cricket,0.06845380564863571	literature,0.026328386787936812	royalty,0.02202010531354715	explorers,0.020105313547151747	politics,0.015797032072762087	music,0.01244614648157013	military,0.010531354715174725	church/royalty,0.005265677357587362
John_Whittle	military,0.7713390759592795	family,0.10023492560689115	royalty,0.03680501174628034	cricket,0.017227877838684416	literature,0.015661707126076743	sports,0.014878621769772905	politics,0.014095536413469069	explorers,0.01331245105716523	church/royalty,0.009397024275646046	music,0.007047768206734534
John_Y._Brown_(1835–1904)	politics,0.7085574572127139	family,0.21711491442542788	sports,0.020048899755501223	literature,0.015647921760391197	royalty,0.010268948655256724	cricket,0.009290953545232274	music,0.0058679706601467	explorers,0.0053789731051344745	military,0.004400977995110024	church/royalty,0.0034229828850855745
Jonathan_Agnew	cricket,0.5154602951510893	family,0.2607167955024596	literature,0.09170765987350668	sports,0.05130007027406887	music,0.027055516514406183	royalty,0.016865776528460996	military,0.011595221363316937	politics,0.009486999297259312	church/royalty,0.008432888264230498	explorers,0.007378777231201687
Joseph_Barbera	literature,0.6332409972299169	family,0.17562326869806094	sports,0.0481994459833795	music,0.04653739612188366	politics,0.03822714681440443	military,0.017174515235457065	cricket,0.017174515235457065	royalty,0.009972299168975069	church/royalty,0.00775623268698061	explorers,0.006094182825484765
Joseph_Johnson_(publisher)	literature,0.5107767385115901	family,0.2824318828792192	royalty,0.08011386742578284	politics,0.06608377389182594	explorers,0.018300122000813338	church/royalty,0.012403416022773485	military,0.010370069133794225	sports,0.008133387555917039	cricket,0.0075233834892232615	music,0.0038633590890605938
Joseph_Szigeti	music,0.41725978647686834	family,0.3429715302491103	literature,0.12455516014234876	explorers,0.02402135231316726	military,0.023576512455516015	church/royalty,0.021352313167259787	politics,0.02001779359430605	royalty,0.01201067615658363	sports,0.009341637010676156	cricket,0.004893238434163701
Joseph_W._Tkach	family,0.3537023723939612	church/royalty,0.3033788641265277	politics,0.13731128684399713	literature,0.056074766355140186	music,0.04241552839683681	military,0.02875629043853343	explorers,0.025880661394680086	royalty,0.024442846872753415	sports,0.014378145219266714	cricket,0.013659237958303379
José_Paranhos,_Viscount_of_Rio_Branco	church/royalty,0.3702975165970002	family,0.28276370789279565	politics,0.26038849274649617	military,0.039095156134743056	explorers,0.01499877059257438	royalty,0.008359970494221785	literature,0.007622326038849275	sports,0.007376444553725104	music,0.0051635111876075735	cricket,0.003934103761986722
Josquin_des_Prez	church/royalty,0.4684169482713803	music,0.1845593969326748	family,0.15180660254743955	literature,0.11671432284897322	royalty,0.0363919937613725	explorers,0.011957369378736678	sports,0.00857811281518066	politics,0.008058227190018197	cricket,0.0072783987522745	military,0.006238627501949571
Jovan_Vladimir	church/royalty,0.6866645943425552	family,0.18308983525023315	literature,0.041032017407522534	royalty,0.03170655890581287	explorers,0.024246192104445136	military,0.017096673919801058	music,0.0046627292508548334	cricket,0.004351880634131178	sports,0.004041032017407522	politics,0.003108486167236556
Joy_Division	music,0.5458064516129032	family,0.29419354838709677	literature,0.060215053763440864	military,0.027526881720430108	sports,0.025806451612903226	cricket,0.016774193548387096	church/royalty,0.011182795698924731	explorers,0.006881720430107527	politics,0.006021505376344086	royalty,0.005591397849462366
Józef_Piłsudski	military,0.43610740811274046	family,0.23995429442011046	politics,0.15368501237859455	church/royalty,0.07370024757189107	explorers,0.04703865930298991	royalty,0.02666158826890116	literature,0.011997714721005522	music,0.004760997905160921	sports,0.004189678156541611	cricket,0.0019043991620643686
Juan_Davis_Bradburn	explorers,0.5353535353535354	family,0.19384319384319385	politics,0.1164021164021164	military,0.06493506493506493	church/royalty,0.030784030784030785	royalty,0.025974025974025976	literature,0.012506012506012507	music,0.008658008658008658	sports,0.007215007215007215	cricket,0.004329004329004329
Judy_Garland	literature,0.40949935815147626	family,0.2503209242618742	music,0.16174582798459564	sports,0.05937098844672657	royalty,0.031450577663671375	military,0.02663671373555841	cricket,0.023106546854942234	politics,0.018292682926829267	explorers,0.014120667522464698	church/royalty,0.0054557124518613605
Justus	church/royalty,0.6404199475065617	royalty,0.13385826771653545	family,0.09448818897637795	music,0.028871391076115485	literature,0.02230971128608924	explorers,0.02230971128608924	cricket,0.01837270341207349	military,0.015748031496062992	sports,0.013123359580052493	politics,0.010498687664041995
KaDee_Strickland	literature,0.49875	family,0.23625	music,0.12125	sports,0.041875	politics,0.028125	explorers,0.0275	royalty,0.01625	military,0.013125	cricket,0.010625	church/royalty,0.00625
Karl_Aloys_zu_Fürstenberg	military,0.6418056918547596	family,0.13886162904808635	royalty,0.1069676153091266	church/royalty,0.04857703631010795	explorers,0.026987242394504417	cricket,0.010794896957801767	politics,0.009813542688910697	sports,0.005888125613346418	music,0.005397448478900883	literature,0.004906771344455349
Karmichael_Hunt	sports,0.6135204081632653	family,0.15943877551020408	cricket,0.14508928571428573	military,0.02040816326530612	politics,0.0194515306122449	royalty,0.011160714285714286	music,0.009885204081632654	explorers,0.008928571428571428	literature,0.007971938775510204	church/royalty,0.004145408163265306
Kate_Bush	music,0.597864768683274	family,0.17259786476868327	literature,0.12766903914590746	royalty,0.03113879003558719	cricket,0.018905693950177938	explorers,0.017126334519572954	sports,0.01201067615658363	military,0.010676156583629894	church/royalty,0.008229537366548042	politics,0.003781138790035587
Katharine_Hepburn	literature,0.5388496468213926	family,0.29885637403296333	sports,0.062058526740666	music,0.035990581903800875	politics,0.016649848637739658	royalty,0.016145307769929364	cricket,0.014631685166498487	explorers,0.007063572149344097	church/royalty,0.005549949545913219	military,0.004204507231752439
Kathleen_Ferrier	music,0.4474212993971869	family,0.28767582049564633	royalty,0.09142665773610181	literature,0.05961152042866711	military,0.030810448760884127	sports,0.02679169457468185	politics,0.02344273275284662	cricket,0.015740120562625585	explorers,0.010046885465505693	church/royalty,0.007032819825853985
Katie_Holmes	literature,0.48007590132827327	family,0.2333965844402277	music,0.13330170777988615	sports,0.051233396584440226	politics,0.027039848197343452	explorers,0.021347248576850095	royalty,0.018026565464895637	military,0.016129032258064516	cricket,0.014231499051233396	church/royalty,0.005218216318785579
Keith_Johnson_(cricket_administrator)	cricket,0.4800531914893617	family,0.2969858156028369	military,0.07535460992907801	politics,0.050975177304964536	literature,0.034574468085106384	royalty,0.02127659574468085	explorers,0.017287234042553192	sports,0.01152482269503546	church/royalty,0.006648936170212766	music,0.005319148936170213
Keith_Miller_in_the_1946–47_Australian_cricket_season	cricket,0.8233374133006935	family,0.11383108935128519	military,0.01346389228886169	politics,0.012647898816809465	sports,0.011015911872705019	literature,0.009791921664626682	explorers,0.005303957568339453	royalty,0.00448796409628723	music,0.0032639738882088943	church/royalty,0.0028559771521827824
Keith_Miller_with_the_Australian_cricket_team_in_England_in_1948	cricket,0.835387323943662	family,0.1307218309859155	literature,0.006602112676056338	military,0.005721830985915493	music,0.005061619718309859	politics,0.004181338028169014	sports,0.0037411971830985913	royalty,0.0037411971830985913	church/royalty,0.003301056338028169	explorers,0.0015404929577464788
Kenneth_R._Shadrick	military,0.515495867768595	family,0.20867768595041322	explorers,0.08264462809917356	politics,0.05991735537190083	literature,0.040289256198347105	sports,0.03512396694214876	royalty,0.01756198347107438	church/royalty,0.014462809917355372	cricket,0.014462809917355372	music,0.011363636363636364
Kenneth_Walker	military,0.6307137129109863	family,0.2032878909382518	politics,0.05292702485966319	literature,0.03528468323977546	explorers,0.023255813953488372	sports,0.01643945469125902	royalty,0.012429831595829992	cricket,0.009623095429029671	music,0.00801924619085806	church/royalty,0.00801924619085806
Kevin_O'Halloran	sports,0.6024590163934426	family,0.125	cricket,0.10758196721311475	military,0.060450819672131145	politics,0.030737704918032786	literature,0.018442622950819672	music,0.01639344262295082	explorers,0.015368852459016393	church/royalty,0.015368852459016393	royalty,0.00819672131147541
Kevin_Pietersen	cricket,0.7251612903225807	family,0.16976958525345623	sports,0.04811059907834101	music,0.01271889400921659	politics,0.011797235023041475	literature,0.011428571428571429	royalty,0.008847926267281106	military,0.005714285714285714	explorers,0.0033179723502304147	church/royalty,0.0031336405529953917
Khalid_al-Mihdhar	explorers,0.5506739890164752	family,0.200199700449326	military,0.07139291063404893	politics,0.06040938592111832	literature,0.044932601098352475	music,0.026460309535696454	sports,0.023464802795806292	cricket,0.011482775836245632	church/royalty,0.006490264603095357	royalty,0.0044932601098352475
Kroger_Babb	literature,0.4692028985507246	family,0.3170289855072464	politics,0.049516908212560384	sports,0.04891304347826087	music,0.04710144927536232	explorers,0.025966183574879228	cricket,0.013888888888888888	royalty,0.013285024154589372	military,0.010869565217391304	church/royalty,0.004227053140096618
L._Ron_Hubbard	explorers,0.3351195922101686	family,0.3331590641746177	literature,0.14677819892824467	politics,0.07018690367272253	military,0.03855705136583453	royalty,0.024179845771794536	music,0.02025878970069272	sports,0.0192131747483989	cricket,0.007450006535093452	church/royalty,0.005097372892432362
Lat	literature,0.5982460948204987	family,0.2507536311318169	politics,0.04439572485612497	music,0.043025486434639625	explorers,0.020005480953685942	cricket,0.012880241161962182	sports,0.009317621266100301	military,0.009043573581803233	church/royalty,0.006303096738832557	royalty,0.006029049054535489
Laurence_of_Canterbury	church/royalty,0.6541049798115747	family,0.14670255720053835	royalty,0.0901749663526245	military,0.026917900403768506	explorers,0.018842530282637954	literature,0.014804845222072678	politics,0.014804845222072678	cricket,0.013458950201884253	music,0.010767160161507403	sports,0.009421265141318977
Lawrence_Sullivan_Ross	politics,0.30993573900148297	explorers,0.3094414236282748	family,0.21997034107760752	military,0.09614434008897677	literature,0.0291646070192783	sports,0.012852199703410776	royalty,0.009886307464162136	music,0.007414730598121601	cricket,0.003213049925852694	church/royalty,0.001977261492832427
Lazare_Ponticelli	military,0.3592105263157895	family,0.22105263157894736	explorers,0.1118421052631579	literature,0.09473684210526316	politics,0.06315789473684211	royalty,0.06315789473684211	church/royalty,0.030263157894736843	sports,0.02631578947368421	music,0.021052631578947368	cricket,0.009210526315789473
Le_Quang_Tung	explorers,0.6309328968903437	family,0.1702127659574468	military,0.10310965630114566	politics,0.038461538461538464	cricket,0.015548281505728314	royalty,0.011456628477905073	sports,0.010638297872340425	church/royalty,0.008183306055646482	literature,0.006546644844517185	music,0.004909983633387889
Lee_Smith_(baseball)	sports,0.7995525727069351	family,0.09753914988814318	cricket,0.031767337807606266	politics,0.026398210290827742	explorers,0.009843400447427294	literature,0.009395973154362415	church/royalty,0.008501118568232663	military,0.006711409395973154	music,0.0058165548098434005	royalty,0.0044742729306487695
Len_Hutton	cricket,0.7564469914040115	family,0.1832125400303388	literature,0.019214562615877298	military,0.01398954997471768	politics,0.007416146974549132	sports,0.006404854205292432	royalty,0.004550817461655149	explorers,0.004382268666779033	music,0.0030338783077700996	church/royalty,0.0013483903590089331
Leo_Ornstein	music,0.44731332868108864	family,0.2958827634333566	literature,0.1284019539427774	church/royalty,0.0314026517794836	politics,0.024424284717376135	military,0.020237264480111653	explorers,0.016050244242847175	sports,0.015352407536636426	royalty,0.011863224005582694	cricket,0.009071877180739707
Leopold_Report	politics,0.43375277572168763	family,0.27387120651369357	literature,0.16358253145817914	explorers,0.03256846780162842	sports,0.025906735751295335	royalty,0.017024426350851222	military,0.015544041450777202	music,0.015544041450777202	church/royalty,0.011102886750555145	cricket,0.011102886750555145
Leslie_Groves	military,0.42116820377689945	politics,0.2059727711901625	family,0.18093983311374615	literature,0.06719367588932806	explorers,0.04391743522178305	sports,0.03337725076855512	royalty,0.01844532279314888	church/royalty,0.015810276679841896	cricket,0.007026789635485288	music,0.006148440931049627
Lindsay_Hassett_with_the_Australian_cricket_team_in_England_in_1948	cricket,0.8991621783363255	family,0.07839616995810891	explorers,0.0038898862956313583	politics,0.0038898862956313583	music,0.003590664272890485	military,0.0026929982046678637	church/royalty,0.0023937761819269898	sports,0.002094554159186116	literature,0.002094554159186116	royalty,0.0017953321364452424
Lisa_del_Giocondo	royalty,0.49789915966386555	family,0.16491596638655462	literature,0.11029411764705882	explorers,0.07878151260504201	church/royalty,0.06722689075630252	politics,0.026260504201680673	music,0.018907563025210083	sports,0.015756302521008403	military,0.012605042016806723	cricket,0.007352941176470588
Luc_Bourdon	sports,0.7555129434324065	family,0.10258868648130393	music,0.039309683604985615	literature,0.023969319271332695	politics,0.020134228187919462	military,0.014381591562799617	cricket,0.013422818791946308	explorers,0.012464046021093002	church/royalty,0.009587727708533078	royalty,0.00862895493767977
Luís_Alves_de_Lima_e_Silva,_Duke_of_Caxias	church/royalty,0.42010556621880996	family,0.22792706333973128	politics,0.13651631477927062	military,0.1293186180422265	royalty,0.03478886756238004	explorers,0.03190978886756238	literature,0.005758157389635317	cricket,0.00527831094049904	sports,0.0047984644913627635	music,0.003598848368522073
Luke_P._Blackburn	politics,0.5897257896563693	family,0.2332523429364804	explorers,0.08781673030197848	literature,0.022908712252690037	royalty,0.021520305449496704	sports,0.010760152724748352	military,0.010760152724748352	church/royalty,0.00971884762235335	music,0.008330440819160014	cricket,0.0052065255119750084
Maggie_Gyllenhaal	literature,0.5462906192519926	family,0.1741263028816677	music,0.09625996321275292	politics,0.06376456161863887	sports,0.027590435315757205	cricket,0.023298589822194973	royalty,0.020846106683016553	church/royalty,0.01900674432863274	explorers,0.018393623543838136	military,0.010423053341508276
Magic_Johnson	sports,0.6873088685015291	literature,0.10244648318042814	family,0.09671253822629969	politics,0.0382262996941896	music,0.021406727828746176	cricket,0.02102446483180428	royalty,0.009938837920489297	explorers,0.0095565749235474	church/royalty,0.00764525993883792	military,0.005733944954128441
Makinti_Napanangka	literature,0.650278293135436	family,0.10111317254174397	cricket,0.05194805194805195	politics,0.04916512059369202	military,0.04359925788497217	music,0.032467532467532464	church/royalty,0.025974025974025976	explorers,0.01855287569573284	sports,0.013914656771799629	royalty,0.012987012987012988
Manuel_I_Komnenos	church/royalty,0.5532197388802832	family,0.2730692631113078	royalty,0.053551670723611416	military,0.045806594379287455	explorers,0.024341668510732464	politics,0.02212878955521133	sports,0.00929409161318876	literature,0.008408940030980305	cricket,0.005532197388802833	music,0.00464704580659438
Marcus_Trescothick	cricket,0.6876971608832808	family,0.18738170347003155	sports,0.06561514195583597	literature,0.012618296529968454	music,0.012302839116719243	military,0.010094637223974764	royalty,0.009779179810725552	politics,0.007886435331230283	explorers,0.00473186119873817	church/royalty,0.0018927444794952682
Mariano_Rivera	sports,0.7165711556829035	family,0.19651384909264566	cricket,0.022445081184336198	music,0.01862464183381089	politics,0.010744985673352435	explorers,0.010506208213944603	military,0.010267430754536771	literature,0.0059694364851957974	royalty,0.004297994269340974	church/royalty,0.004059216809933142
Mario_Vargas_Llosa	literature,0.5475837533353098	family,0.19063148532463683	explorers,0.11532760154165432	politics,0.06522383634746516	church/royalty,0.03083308627334717	military,0.01630595908686629	sports,0.010969463385710051	royalty,0.010376519418914912	music,0.008004743551734361	cricket,0.004743551734361103
Mark_Hanna	politics,0.6293977340488969	family,0.30649970184853903	literature,0.02131782945736434	explorers,0.014758497316636851	royalty,0.005664877757901014	music,0.005366726296958855	military,0.004621347644603459	church/royalty,0.0043231961836613	sports,0.004025044722719142	cricket,0.004025044722719142
Mark_Kerry	sports,0.631908831908832	family,0.1772079772079772	cricket,0.08945868945868946	politics,0.035897435897435895	literature,0.021082621082621083	explorers,0.010256410256410256	church/royalty,0.010256410256410256	military,0.009686609686609686	royalty,0.009116809116809116	music,0.005128205128205128
Mark_Tonelli	sports,0.5549081129538324	family,0.22187359928283282	cricket,0.1004034065441506	politics,0.0421335723890632	explorers,0.02330793366203496	literature,0.016584491259524877	military,0.015688032272523533	church/royalty,0.008964589870013447	royalty,0.008964589870013447	music,0.007171671896010758
Martha_Layne_Collins	politics,0.7178735872750105	family,0.15487651737128505	literature,0.03641691084135622	sports,0.026370866471326915	music,0.01590623691921306	royalty,0.012138970280452072	church/royalty,0.010046044370029301	explorers,0.009627459187944746	cricket,0.009208874005860193	military,0.007534533277521975
Martin_Brodeur	sports,0.8690642458100558	family,0.06983240223463687	politics,0.014664804469273743	cricket,0.011871508379888268	literature,0.008379888268156424	music,0.006983240223463687	church/royalty,0.006634078212290503	military,0.004888268156424581	explorers,0.004539106145251397	royalty,0.0031424581005586594
Martin_Bucer	church/royalty,0.4475955610357583	family,0.30579531442663377	royalty,0.15487053020961775	politics,0.02663378545006165	literature,0.024907521578298397	military,0.02096177558569667	sports,0.00813810110974106	music,0.003945745992601726	explorers,0.0036991368680641184	cricket,0.0034525277435265103
Mary_Anning	literature,0.4883654937570942	family,0.3339954597048808	royalty,0.08740068104426787	explorers,0.029511918274687854	politics,0.0170261066969353	military,0.012769580022701475	church/royalty,0.010783200908059024	sports,0.009080590238365494	cricket,0.0065266742338251985	music,0.004540295119182747
Mary_II_of_England	royalty,0.6465560583207642	family,0.24836601307189543	military,0.02262443438914027	literature,0.014580191050779286	explorers,0.014077425842131725	politics,0.01256913021618904	cricket,0.01256913021618904	sports,0.011060834590246356	music,0.00904977375565611	church/royalty,0.008547008547008548
Mary_Martha_Sherwood	literature,0.5435967302452316	family,0.24863760217983652	royalty,0.11171662125340599	church/royalty,0.02826975476839237	explorers,0.023841961852861037	military,0.011580381471389645	cricket,0.009877384196185286	politics,0.0085149863760218	music,0.007833787465940054	sports,0.006130790190735695
Mary_of_Teck	royalty,0.5943298969072165	family,0.22474226804123712	literature,0.052061855670103095	military,0.0443298969072165	music,0.016494845360824743	explorers,0.015979381443298968	cricket,0.015979381443298968	sports,0.015463917525773196	politics,0.010824742268041237	church/royalty,0.00979381443298969
Masako_Katsura	sports,0.5832948777111213	family,0.19243193354868482	cricket,0.0747577295800646	literature,0.06829718504845408	explorers,0.018920166128287955	military,0.018458698661744346	royalty,0.015689893862482696	music,0.01430549146285187	politics,0.009229349330872173	church/royalty,0.0046146746654360865
Master_Juba	literature,0.43871310821590004	family,0.2932730656740229	music,0.12682797128423293	royalty,0.028715767083222547	cricket,0.028183993618718425	explorers,0.02552512629619782	sports,0.019941504918904545	church/royalty,0.018877957989896305	politics,0.0162190906673757	military,0.003722414251528849
Matthew_Brettingham	royalty,0.3849734042553192	family,0.24534574468085107	literature,0.24335106382978725	church/royalty,0.030585106382978722	explorers,0.02526595744680851	military,0.021941489361702128	sports,0.016622340425531915	politics,0.013962765957446808	music,0.00997340425531915	cricket,0.007978723404255319
Maximian	church/royalty,0.6100698272693863	family,0.21940463065049615	military,0.05880191106210952	explorers,0.03638368246968027	royalty,0.023153252480705624	politics,0.0213156927600147	sports,0.011025358324145534	cricket,0.00808526277104006	literature,0.007717750826901874	music,0.00404263138552003
Maximus_the_Confessor	church/royalty,0.6548279689234184	family,0.16204217536071033	literature,0.03662597114317425	politics,0.03440621531631521	music,0.03218645948945616	military,0.022197558268590455	royalty,0.021087680355160933	cricket,0.013318534961154272	explorers,0.01220865704772475	sports,0.011098779134295227
Maynard_James_Keenan	music,0.5665101721439749	family,0.23082942097026604	literature,0.0715962441314554	politics,0.03247261345852895	explorers,0.030125195618153366	sports,0.02464788732394366	church/royalty,0.014084507042253521	military,0.012519561815336464	royalty,0.01056338028169014	cricket,0.006651017214397496
Mário_de_Andrade	literature,0.4310432569974555	family,0.26513994910941474	church/royalty,0.1486005089058524	music,0.0910941475826972	explorers,0.01628498727735369	politics,0.014758269720101781	military,0.01272264631043257	sports,0.009669211195928753	royalty,0.0055979643765903305	cricket,0.005089058524173028
Mellitus	church/royalty,0.6460905349794238	family,0.1286008230452675	royalty,0.12654320987654322	military,0.01954732510288066	music,0.01646090534979424	politics,0.015432098765432098	explorers,0.01440329218106996	literature,0.01131687242798354	cricket,0.01131687242798354	sports,0.0102880658436214
Meshuggah	music,0.7321497491316095	family,0.18795831725202625	literature,0.02933230412967966	cricket,0.01466615206483983	church/royalty,0.012350443844075647	military,0.00887688151292937	politics,0.005017367811655731	explorers,0.0042454650714010035	sports,0.0030876109610189118	royalty,0.0023157082207641835
Michael_Gomez	sports,0.5855855855855856	family,0.2481981981981982	military,0.04234234234234234	royalty,0.027927927927927927	literature,0.023873873873873873	explorers,0.02252252252252252	cricket,0.021621621621621623	politics,0.012612612612612612	music,0.01126126126126126	church/royalty,0.004054054054054054
