#article_name 	topic_name1,topic_prop1	topic_name2,topic_prop2...
Anna_of_East_Anglia	church/royalty,0.7627906976744186	family,0.0937984496124031	royalty,0.06511627906976744	politics,0.01937984496124031	literature,0.01627906976744186	sports,0.013953488372093023	music,0.008527131782945736	explorers,0.007751937984496124	military,0.006201550387596899	cricket,0.006201550387596899
Anne_of_Denmark	royalty,0.5233118971061094	family,0.34686495176848875	literature,0.0409967845659164	church/royalty,0.023311897106109324	explorers,0.02009646302250804	sports,0.010852090032154342	military,0.01004823151125402	music,0.01004823151125402	politics,0.008038585209003215	cricket,0.006430868167202572
Anton_Chekhov	literature,0.440320962888666	family,0.35255767301905716	royalty,0.06168505516549649	music,0.04312938816449348	military,0.031093279839518557	explorers,0.03009027081243731	church/royalty,0.01805416248746239	politics,0.01053159478435306	sports,0.007522567703109328	cricket,0.0050150451354062184
Archie_Jackson	cricket,0.661046511627907	family,0.22093023255813954	royalty,0.022674418604651164	politics,0.020930232558139535	explorers,0.01744186046511628	literature,0.015697674418604653	music,0.013953488372093023	sports,0.011046511627906977	military,0.011046511627906977	church/royalty,0.005232558139534884
Arrest_and_assassination_of_Ngo_Dinh_Diem	explorers,0.5214408233276158	family,0.3133218982275586	politics,0.07318467695826186	military,0.05460263007432819	royalty,0.012292738707833047	music,0.00686106346483705	sports,0.006003430531732418	church/royalty,0.005431675242995998	cricket,0.0037164093767867354	literature,0.0031446540880503146
Art_Houtteman	sports,0.7424892703862661	family,0.1427038626609442	politics,0.024141630901287552	cricket,0.023605150214592276	explorers,0.02092274678111588	military,0.017703862660944206	literature,0.009656652360515022	music,0.009656652360515022	church/royalty,0.004828326180257511	royalty,0.004291845493562232
Art_Ross	sports,0.7498795180722891	family,0.12433734939759036	politics,0.04144578313253012	military,0.030361445783132532	literature,0.01253012048192771	cricket,0.00963855421686747	music,0.009156626506024097	royalty,0.009156626506024097	explorers,0.008674698795180723	church/royalty,0.004819277108433735
Arthur_Morris	cricket,0.8005312726394591	family,0.13644047331562426	sports,0.013764791113257667	politics,0.01207437816952427	military,0.009176527408838444	music,0.007486114465105047	royalty,0.005795701521371649	church/royalty,0.005554213957981164	literature,0.005312726394590679	explorers,0.003863801014247766
Arthur_Percival	military,0.5745379876796715	family,0.23080082135523614	royalty,0.06365503080082136	explorers,0.04271047227926078	cricket,0.027104722792607804	literature,0.024640657084188913	politics,0.014373716632443531	church/royalty,0.00862422997946612	music,0.008213552361396304	sports,0.0053388090349075976
Arthur_Sifton	politics,0.6502873563218391	family,0.2508620689655172	royalty,0.03333333333333333	military,0.015229885057471264	literature,0.01293103448275862	sports,0.010632183908045977	church/royalty,0.009770114942528735	cricket,0.008620689655172414	explorers,0.00603448275862069	music,0.0022988505747126436
Aspasia	church/royalty,0.47878787878787876	literature,0.22848484848484849	family,0.20606060606060606	politics,0.02909090909090909	military,0.015151515151515152	royalty,0.012121212121212121	explorers,0.009696969696969697	music,0.007272727272727273	cricket,0.007272727272727273	sports,0.006060606060606061
Assassination_of_William_McKinley	family,0.47648996705600477	politics,0.36028751123090746	explorers,0.053608864929619644	literature,0.026954177897574125	military,0.02365977837675951	sports,0.016771488469601678	music,0.016771488469601678	cricket,0.014375561545372867	royalty,0.006289308176100629	church/royalty,0.004791853848457622
Attalus_I	church/royalty,0.5736102626756261	family,0.22602321319486865	military,0.05742211362248015	explorers,0.05131337813072694	cricket,0.020769700671960906	sports,0.020158827122785584	politics,0.0177153329260843	royalty,0.016493585827733658	literature,0.011606597434331093	music,0.004886988393402566
Audioslave	music,0.6352128883774454	family,0.24242424242424243	politics,0.038358266206367474	explorers,0.024165707710011506	sports,0.015726889144610665	military,0.013425393172228616	literature,0.012658227848101266	church/royalty,0.00728807057920982	royalty,0.005370157268891446	cricket,0.005370157268891446
Augusta,_Lady_Gregory	literature,0.4866785079928952	family,0.17229129662522202	royalty,0.14209591474245115	church/royalty,0.050621669626998225	military,0.037300177619893425	explorers,0.03019538188277087	cricket,0.02930728241563055	politics,0.02575488454706927	music,0.016873889875666074	sports,0.008880994671403197
Augustine_of_Canterbury	church/royalty,0.6592797783933518	family,0.1706371191135734	royalty,0.09196675900277008	military,0.020498614958448753	literature,0.019390581717451522	explorers,0.011634349030470914	sports,0.00886426592797784	music,0.006648199445983379	cricket,0.006648199445983379	politics,0.00443213296398892
Augustus_Owsley_Stanley	politics,0.7550644567219152	family,0.1497851442602824	literature,0.029465930018416207	sports,0.01596071209330878	royalty,0.011049723756906077	church/royalty,0.010435850214855739	military,0.008594229588704727	music,0.007366482504604052	explorers,0.006138735420503376	cricket,0.006138735420503376
Austin_Nichols	literature,0.3799126637554585	sports,0.21615720524017468	family,0.19323144104803494	explorers,0.055676855895196505	music,0.05349344978165939	military,0.03056768558951965	politics,0.02947598253275109	cricket,0.016375545851528384	royalty,0.013100436681222707	church/royalty,0.012008733624454149
Ayumi_Hamasaki	music,0.616530156366344	family,0.22089848597666914	literature,0.09431620749565649	sports,0.020600645321419708	military,0.013899230578307272	royalty,0.008190618019359643	explorers,0.007942417473318442	cricket,0.007446016381236039	politics,0.005956813104988831	church/royalty,0.004219409282700422
Áedán_mac_Gabráin	church/royalty,0.8367834394904459	family,0.054140127388535034	royalty,0.03662420382165605	literature,0.028662420382165606	sports,0.010350318471337579	politics,0.00875796178343949	cricket,0.007165605095541401	military,0.006369426751592357	explorers,0.005573248407643312	music,0.005573248407643312
Ba_Cut	explorers,0.5404339250493096	family,0.2514792899408284	military,0.07495069033530571	politics,0.050788954635108484	church/royalty,0.03994082840236687	music,0.014299802761341223	royalty,0.009368836291913214	literature,0.0073964497041420114	sports,0.005917159763313609	cricket,0.005424063116370809
Baldwin_of_Forde	royalty,0.6489542114188808	family,0.13453928773318258	church/royalty,0.09270774448841153	literature,0.06218202374222725	explorers,0.016958733747880157	music,0.010740531373657434	cricket,0.010740531373657434	politics,0.008479366873940079	military,0.00791407574901074	sports,0.006783493499152063
Ban_Ki-moon	politics,0.4801732755748084	family,0.20593135621459513	military,0.10663112295901367	explorers,0.09830056647784072	literature,0.042652449183605466	sports,0.025658113962012664	music,0.013328890369876709	cricket,0.010329890036654448	royalty,0.008997000999666778	church/royalty,0.007997334221926024
Bart_King	cricket,0.5546218487394958	family,0.16354234001292825	royalty,0.08855850032320621	sports,0.0698125404007757	literature,0.05429864253393665	politics,0.02456367162249515	explorers,0.015513897866839044	military,0.010342598577892695	music,0.010342598577892695	church/royalty,0.008403361344537815
Barthélemy_Boganda	explorers,0.32861990950226244	family,0.251131221719457	politics,0.22963800904977374	church/royalty,0.04920814479638009	literature,0.04751131221719457	military,0.02997737556561086	royalty,0.026018099547511313	sports,0.014705882352941176	music,0.011877828054298642	cricket,0.011312217194570135
Basiliscus	church/royalty,0.5594020456333596	family,0.21951219512195122	royalty,0.05035405192761605	explorers,0.04799370574350905	military,0.04720692368214005	politics,0.03697875688434304	cricket,0.011801730920535013	sports,0.011014948859166011	literature,0.00944138473642801	music,0.006294256490952006
Bedřich_Smetana	music,0.44601571268237933	family,0.30549943883277214	literature,0.11156004489337823	royalty,0.035016835016835016	military,0.030751964085297418	church/royalty,0.023793490460157128	politics,0.022671156004489337	sports,0.010774410774410775	explorers,0.010325476992143659	cricket,0.003591470258136925
Ben_Paschal	sports,0.7588967971530249	family,0.10498220640569395	cricket,0.03291814946619217	military,0.02491103202846975	politics,0.023131672597864767	explorers,0.016903914590747332	royalty,0.012455516014234875	literature,0.009786476868327402	music,0.009786476868327402	church/royalty,0.006227758007117438
Benjamin_Franklin_Tilley	explorers,0.3961848862802641	politics,0.21496698459280997	military,0.17094644167278064	family,0.13132795304475423	church/royalty,0.02127659574468085	sports,0.019075568598679385	literature,0.014673514306676448	cricket,0.012472487160674981	royalty,0.01173881144534116	music,0.007336757153338224
Benjamin_Harrison	politics,0.6990070921985816	family,0.1676595744680851	royalty,0.035177304964539004	explorers,0.032624113475177303	literature,0.017588652482269502	military,0.01702127659574468	sports,0.011063829787234043	music,0.010212765957446808	church/royalty,0.005957446808510639	cricket,0.0036879432624113474
Benjamin_Morrell	explorers,0.5333978702807357	family,0.27637947725072604	literature,0.08906098741529525	royalty,0.030977734753146177	sports,0.016456921587608905	politics,0.014036786060019362	music,0.011616650532429816	military,0.011132623426911906	cricket,0.011132623426911906	church/royalty,0.005808325266214908
Benjamin_Mountfort	literature,0.42243116185359303	family,0.20819341840161182	royalty,0.16655473472128945	explorers,0.061114842175957015	church/royalty,0.050369375419744795	cricket,0.035594358629952985	politics,0.027535258562793822	military,0.0167897918065816	sports,0.006044325050369375	music,0.005372733378106112
