ARTICLE_NAME	Art	Business	Education	Explorers	Humanities	Law	Literature	Media	Music	Personal	Politics	Religion	Royalty	Science	Sports	Warfare	Other
Prince Albert Victor, Duke of Clarence and Avondale	0.00479493182554		0.00193930200173	0.000479553092415	0.0272659772536	0.176167605669	0.0548443570057	0.00414374893735	0.000308403409285	0.130370885843	0.000183220716184	0.000950042602097	0.22826119947	0.000329766719423	0.000352363543661	0.0274364136037	0.342172228307
Cedric Howell	0.00103038596683		0.0043845759312	0.0668600703139	0.000451021585858	0.000281339053233	0.000288723848916	0.00128080578568	0.00171563292515	0.0917318435267	0.000944937968711	0.0128424450101	0.000932292535864	0.0364381946445	0.0394264355289	0.608495229033	0.132896066341
Ian Chappell	4.87935085319e-05		0.0225885949268	0.00301643183418	0.00918911440187	0.000546101183994	0.0203011049602	0.0399435750134	0.00067770841365	0.0905568117993	0.0246464617058	5.30062136605e-05	0.0006450917506	0.00175939643104	0.50762435329	8.79364609546e-05	0.278315518106
Hiram Wesley Evans	0.000273082870125		0.03266136201	6.51750687869e-05	0.0521015752371	0.073918128006	0.00216729552173	0.0132118027259	0.000229643517304	0.0244981260239	0.500308837372	0.0119618406676	0.00214997965547	0.000888875892952	0.000179138014238	0.000321958385992	0.285063179031
Ronnie Lee Gardner	0.00150135665826		0.00217540070801	0.000141982102647	0.0184825515357	0.572755822338	0.00166959132773	0.00988548943594	0.000540039591173	0.128666356686	0.0389423127673	0.014411284361	0.000825349882645	0.00881205979875	0.00771146265163	0.000773089036682	0.192705851119
William Burges	0.496065224825		0.0129535523644	0.0100177751445	0.0129627174527	0.00242951815562	0.0488934388026	0.00108807289511	0.000167924171348	0.0192290142269	0.00578646283229	0.00625703322052	0.0221443184273	0.0300744058977	0.010861960629	2.4773671081e-05	0.321043807284
Ernest Emerson	0.0785881065454		0.0341750210469	0.000201472263624	0.000609964203992	0.120373017202	0.0361928407922	0.0481480264693	0.00520210898998	0.000783206389242	0.000293309685726	4.51745373567e-05	0.000288504175753	0.369689720181	0.0152898079733	0.0567889138999	0.233330805644
Ian Dougald McLachlan	0.000445936392262		0.119959991692	0.000617550018378	0.0144459982293	0.000204619562606	0.00166718361102	0.024895156713	0.000377764030224	0.00410477210266	0.0587302792095	0.00027641904512	0.00767753860072	0.0602820476359	0.000925119681965	0.527624757253	0.177764866223
Nguyen Chanh Thi	7.58818447606e-05		0.00431990474634	9.66797221333e-05	9.86870585635e-05	0.0367231610982	0.000781275171987	0.00931519919207	0.000659848626093	0.00961237765008	0.400286855565	0.000164994953882	0.0611172090592	4.64887894951e-05	0.0013868470848	0.154411794156	0.320902795281
Elwood Haynes	0.0026460086323		0.0430102381012	0.0171503830822	0.00107681924392	0.0184601082463	0.000429080042262	0.000465183344984	0.000143886397053	0.185599391532	0.076453147589	0.000121470927213	0.00020991277423	0.4438599114	0.0432083550419	7.03499414652e-05	0.167095753704
Robin Friday	0.0043703403708		0.00425403078538	0.0012544764038	0.00039089380203	0.0334619118648	0.000308134608196	0.000717075753871	0.00935054612695	0.0779751879319	0.0026007277083	2.700807804e-05	0.00017248529259	0.000170108862479	0.444180337521	0.00838715230549	0.412379582584
Wendell H. Ford	0.000796447216227		0.0581391885218	0.00042074496781	0.00026144961734	0.0202806835424	0.00120115499637	0.000332035497574	9.58462868253e-05	0.0349109641857	0.653885592475	0.000120404245373	0.000998105809817	0.0411759529007	0.0246811503281	0.0348525596017	0.127847719808
André Kertész	0.309575834619		0.0821188429339	0.000251606985186	0.00144273403805	0.000590100877188	0.0902574621811	0.0367863220736	0.00243945347521	0.228596462721	0.0247581685803	0.000407196259632	0.000598240414811	0.000230976605711	0.000717127860173	0.000195405334767	0.22103406504
Anne Hutchinson	0.000826790484968		0.000335210351457	0.0899607631622	0.0426808245914	0.0752676312086	0.00842986826255	0.000657480294417	0.000109064325642	0.109137780172	0.0738804457057	0.185101219406	0.0682430869957	0.00115828022586	6.87164633611e-05	4.31619455078e-05	0.344099676405
Nikolai Kulikovsky	0.000202240363468		0.00477121503472	0.0122020634918	0.000750737662135	0.0148338976762	0.000655684172206	0.000744455080646	0.000379242934856	0.393387374305	0.107547204874	0.0010257245549	0.191308049935	0.000680425437032	0.000695440822738	0.13273770892	0.138078534735
Thomas of Bayeux	0.00344115551246		0.00772562102992	0.000812090402725	0.00033772905078	0.00574138503399	0.00259349215153	0.00244339197986	0.00319387542771	0.00573288198673	0.0158472445014	0.355231825217	0.241907111149	0.000880941326389	0.0010299270193	0.00041424135766	0.352667086853
Hygeberht	0.000100431356762		0.000813210443877	8.79289512184e-05	0.00105982967357	0.00102721167789	0.000555491072838	0.0023094701121	0.000313294036006	0.00279215864379	0.00180454100589	0.348722672559	0.232280662251	0.00110862861946	0.000722661212468	0.000795611956091	0.405506196429
Francis Tresham	0.000252088997237		0.00166021188654	0.000502853667709	0.000405709996242	0.278859320228	0.00352980467656	0.000555209773203	0.000297525446112	0.0427819078935	0.0310074769823	0.058890643496	0.20726937825	0.000413972320909	0.000376928798697	0.000350219017645	0.37284674857
Luís Alves de Lima e Silva, Duke of Caxias	0.00116169235305		0.000888868958356	0.00488185318595	0.00129844690756	0.000113855499761	0.000144619068182	0.000140178263283	0.000140692518421	0.0517147759479	0.199059846291	0.000557452054519	0.283512766644	0.000267093473432	0.000191721062449	0.17988839148	0.276037746291
