ARTICLE_NAME	Art	Business	Education	Explorers	Humanities	Law	Literature	Media	Music	Personal	Politics	Religion	Royalty	Science	Sports	Warfare	Other
Antoni Gaudí	0.530179483549		0.00778034405925	6.96881172917e-05	0.0275738557332	0.00135734874737	0.00735956138012	0.0214290214631	0.000686700161362	0.0355120625544	0.00300060152567	0.0380551153358	0.0130809146475	0.0521297729354	0.0187469654643	0.00021450258386	0.242824061742
Julio César	0.0035519585628		0.00483754566389	2.55483624493e-05	0.0064215949961	0.0288104294581	0.0272848804646	0.0515332927227	0.00115100609298	0.0654084558782	0.0432274159115	0.00360428021889	0.358484007228	0.000386926029042	0.0136044530633	0.0565312010622	0.335137004285
Juan Ruiz de Alarcón	0.0136932258518		0.000148149903742	0.000127247239825	0.135787085541	0.0246350426867	0.258045147634	0.0521142639259	0.000114752316078	0.0812736642815	0.000547741076688	0.00577393242068	0.0350930608304	2.59161878328e-05	6.9773879543e-05	0.00426921718004	0.388281779044
Pericles	9.22285932904e-05		0.00708264470575	0.00522287452835	0.0663733862764	0.000743691713413	0.0312293882946	0.0441546920003	6.1563232695e-05	0.043753158441	0.0640750615713	0.000131026351574	0.259982070975	1.25806686137e-05	0.0073111885787	0.00113586800621	0.468638576063
Bob Dylan	0.00318383828615		0.0117682383356	1.96260839635e-05	0.00739598477952	0.00652302504938	0.100760970956	0.109999560593	0.412194421753	0.0406732008784	0.050076874878	0.00476277962998	9.93362259273e-05	0.000138607426159	0.00453752426476	1.51935043163e-05	0.247850817356
Mehmet Alí	0.00775960171153		0.0387296839368	0.0723488591876	0.000176987340557	0.000195014253983	0.0127233798811	0.0323200257047	0.000519873681376	0.0146132621969	0.237831933085	0.00314361129003	0.253302779193	0.0559246299284	0.00130752985034	0.0934011172773	0.175701711481
Jenófanes	0.000299342625655		0.00115741309387	0.000175926673812	0.277584268887	0.000255513569885	0.0216797349159	0.0110549440548	9.16427636947e-05	0.0373336945163	0.000119381413303	0.00252232294012	0.00827395619555	0.0372784420868	0.00577102221418	7.64149328013e-05	0.596325979116
Cao Yu	0.0416784614582		0.164462669348	0.00146706855307	0.0148015533413	0.00024250285407	0.30094392401	0.0671144042903	0.00208482734114	0.0787456344774	0.10699269304	0.000144897637269	0.0327716245239	0.000442372965291	0.000732506054268	0.001140524223	0.186234335883
Maximiliano Hernández Martínez	0.000465509235224		0.0232038073739	0.00331307704428	0.0349972746591	0.0242424421069	0.04417408761	0.097157161241	9.07032196151e-05	0.0377320188224	0.343748652522	4.89166408774e-05	0.00118795680766	0.000223085590639	0.0154454482932	0.104526276349	0.269443582484
Aníbal	0.00652620428622		0.0142504603152	0.0356510862353	0.00799671153081	0.000106004515879	0.0473184800875	0.0346161299872	6.78391443643e-05	0.023971753657	0.00512383407513	0.00317729074052	0.324540684982	4.77008971807e-05	0.00434049963238	0.145005224482	0.347260095431
