ARTICLE_NAME	Art	Business_and_economics	Exploration	Law_and_crime	Life	Literature	Music	Politics	Popular_culture	Science_and_technology	Sports	TV_and_film	War_and_military
Jorge Pepe	0.262939958592	0.0248447204969	0.0151828847481	0.0117322291235	0.105590062112	0.0628019323671	0.047619047619	0.0207039337474	0.0179434092478	0.0296756383713	0.0841959972395	0.0338164251208	0.0172532781228
Jorge Rafael Videla	0.00428877769836	0.0486855690573	0.00683027559368	0.192280200143	0.0733857517274	0.0582161861647	0.0248590262886	0.17607815106	0.00611547931062	0.0134222857597	0.0262091970455	0.016996267175	0.059010404257
Jorge Villamil	0.0431893687708	0.00922849760059	0.0140273163529	0.0505721668512	0.126984126984	0.0483573274271	0.2476928756	0.0398671096346	0.0129198966408	0.0217792543374	0.0568475452196	0.0214101144334	0.0210409745293
Joris-Karl Huysmans	0.0703185703186	0.010101010101	0.0400155400155	0.010878010878	0.104895104895	0.277777777778	0.0761460761461	0.012432012432	0.0244755244755	0.0275835275835	0.0594405594406	0.026418026418	0.012432012432
Josef de Mendoza y Ríos	0.0113636363636	0.0113636363636	0.0989057239057	0.00673400673401	0.0231481481481	0.0521885521886	0.0753367003367	0.00799663299663	0.00715488215488	0.559764309764	0.0526094276094	0.0143097643098	0.00799663299663
Josef Koudelka	0.189743589744	0.045811965812	0.0382905982906	0.0335042735043	0.0683760683761	0.101196581197	0.0403418803419	0.025641025641	0.0191452991453	0.0160683760684	0.0588034188034	0.048547008547	0.0307692307692
Josef von Sternberg	0.028083028083	0.0216727716728	0.0381562881563	0.0335775335775	0.0741758241758	0.0732600732601	0.03663003663	0.00946275946276	0.00885225885226	0.0344932844933	0.0769230769231	0.24358974359	0.0320512820513
Josefina Vázquez Mota	0.00796645702306	0.0461215932914	0.00922431865828	0.0184486373166	0.0700209643606	0.030607966457	0.0285115303983	0.460377358491	0.030607966457	0.022641509434	0.106918238994	0.0251572327044	0.0134171907757
Josep Acebillo	0.126068376068	0.138034188034	0.00982905982906	0.0175213675214	0.214102564103	0.0192307692308	0.0405982905983	0.0517094017094	0.0226495726496	0.0487179487179	0.0683760683761	0.0213675213675	0.0115384615385
Josep Lluís Sert	0.273425499232	0.0496671786994	0.0163850486431	0.0143369175627	0.123911930364	0.0378904249872	0.0440348182284	0.0327700972862	0.00972862263185	0.0179211469534	0.0624679979519	0.020993343574	0.0271377368152
Josep Maria Espinàs	0.0204149933066	0.010374832664	0.0120481927711	0.0113788487282	0.0528781793842	0.287148594378	0.246318607764	0.00870147255689	0.020749665328	0.0478580990629	0.0361445783133	0.028781793842	0.0070281124498
Joseph Anthony	0.0377260981912	0.0134366925065	0.0237726098191	0.0175710594315	0.0739018087855	0.035142118863	0.0677002583979	0.00981912144703	0.0113695090439	0.0180878552972	0.0935400516796	0.486821705426	0.0144702842377
